PMemb,Cluster,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,matched_observations,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,Ecl_Lon,Ecl_Lat,ruwe,mag
0.8,NGC_869,4.58367E+17,34.81629468,0.02568476,57.01306022,0.036926661,0.366277605,0.045303625,8.084951,-0.65449395,0.084177461,-1.356690532,0.110507632,0.338364,0.1607862,0.09411255,-0.1305203,-0.125293,-0.1817069,-0.2505567,0.2240051,0.04473072,0.3994741,216,215,-1.321015,183.464,16.92867,1.5708344,0.006349707,0.0276054,25,12,0.1169387,28,233,14965.87763,8.387388978,1784.331,15.25061,27,7701.040448,22.12894779,348.0075,15.63501,24,10740.33856,30.97951844,346.6916,14.68437,1.232228,0.9506397,0.3844042,0.5662355,134.7046831,-3.837606465,54.16023537,40.23542135,1.0122089,15.25061
0.8,NGC_869,4.58378E+17,34.74033687,0.02751671,57.13832644,0.039555164,0.409792798,0.043229158,9.479547,-0.697165065,0.075997595,-1.102188966,0.110636973,0.467008,0.09570452,-0.217055,-0.2464839,0.08730447,-0.2220817,-0.1823522,0.2666711,0.08722019,0.4105151,220,211,10.57532,502.6368,294.381,1.6852139,0.006656847,0.09377469,26,11,0.07392779,29,226,764977.1592,365.0307175,2095.651,10.97924,23,488686.4044,1264.331709,386.5175,11.12881,18,423112.0782,811.4278224,521.4414,10.69578,1.191929,0.4330311,0.1495686,0.2834625,134.6238693,-3.733233585,54.18168477,40.36629725,0.9341941,10.97924
0.7,NGC_869,4.58374E+17,34.94934119,0.02781565,57.11097953,0.041685839,0.4850118,0.054228447,8.943863,-0.561443199,0.082495539,-1.110911499,0.116589829,0.1913127,0.1811695,-0.05295554,-0.07386868,-0.207952,-0.1694468,-0.2875012,0.4151461,0.05242144,0.2840595,217,204,9.036894,438.0804,315.713,1.6201146,0.007443619,-0.0610133,25,11,0.07184697,34,222,842648.6956,4751.183642,177.3555,10.87425,18,479832.9019,6724.140937,71.35973,11.14866,18,586878.1043,4891.439881,119.9806,10.34055,1.265902,0.8081131,0.2744141,0.533699,134.7401857,-3.721131095,54.3008066,40.29300157,1.0423895,10.87425
0.3,NGC_869,4.58373E+17,34.62230014,0.03195478,57.14654832,0.04510249,0.280291167,0.070211547,3.992095,-0.614114381,0.110160301,-0.727389649,0.119708344,0.3085402,-0.1565793,-0.2576335,-0.09381964,-0.03661953,-0.09198098,-0.1104506,0.5743744,0.1144864,0.2491215,219,219,4.441682,318.7997,9.568469,1.5907739,0.008018789,-0.04651913,25,10,0.1218167,30,236,12146.55116,5.443354141,2231.446,15.47723,22,6282.903448,17.23203949,364.6059,15.85599,21,8828.523371,16.41512198,537.8287,14.8972,1.244092,0.9587879,0.3787546,0.5800333,134.5605895,-3.746708515,54.11039243,40.4012234,1.2993975,15.47723
0.3,NGC_869,4.58354E+17,34.91629617,0.03752605,56.8817718,0.044682604,0.405075629,0.062198386,6.512639,-0.921070893,0.164527468,-1.172860614,0.150157968,0.1139606,-0.1877146,0.4786305,-0.165132,-0.144357,-0.230531,-0.1706583,-0.1241011,0.1763764,0.1672954,195,194,-0.455627,179.634,10.37789,1.5733202,0.009024137,-0.06393376,23,10,0.1618148,26,212,9283.2675,4.570086191,2031.311,15.76911,25,4744.702022,16.36941825,289.8516,16.16087,25,6735.61676,18.78102538,358.6395,15.19098,1.236668,0.9698896,0.3917522,0.5781374,134.8001925,-3.943111783,54.15139852,40.09341491,1.0188627,15.76911
0.7,NGC_869,4.5838E+17,34.66888436,0.02508909,57.29713065,0.038270249,0.350449093,0.044616416,7.854712,-0.647442114,0.071421737,-1.096130561,0.094811426,0.2097856,0.1191772,-0.1044535,-0.003000486,-0.1404996,-0.05832295,-0.1664889,0.3023357,0.1470078,0.1989607,222,217,9.689225,479.4957,333.1884,1.6651392,0.007430951,0.001850093,29,12,0.06058959,33,242,867064.7828,302.971123,2861.873,10.84324,28,501949.836,861.9188654,582.3632,11.09974,28,541025.0684,434.0144226,1246.56,10.42888,1.20288,0.6708603,0.2565002,0.41436,134.5344929,-3.59626632,54.22544908,40.52631688,1.0163897,10.84324
0.4,NGC_869,4.5838E+17,34.67464032,0.018233409,57.29438534,0.028377674,0.401798806,0.032198345,12.47886,-0.927677556,0.05030339,-1.226575919,0.062007773,0.3617249,0.1853494,-0.02824568,-0.01151705,-0.01915912,-0.03218266,-0.1108053,0.3192059,0.1248596,0.2024676,216,215,-5.167854,120.4365,46.47065,1.606008,0.004655558,0.02442301,25,11,0.06730089,29,237,38070.12474,12.81579251,2970.563,14.23691,28,20719.10556,55.86725631,370.8631,14.56046,27,26006.79522,43.9420384,591.8431,13.7242,1.227364,0.8362579,0.3235559,0.512702,134.5383444,-3.59782609,54.22758778,40.52250036,0.87425476,14.23691
0.4,NGC_869,4.58378E+17,34.72802121,0.049719158,57.14214735,0.074263305,0.459382372,0.100331975,4.578624,-0.964891975,0.162472601,-0.957207312,0.237768502,0.2802467,-0.07432324,-0.2465538,-0.1764182,-0.1933832,-0.2490908,-0.3396927,0.4486109,-0.01521389,0.3068633,214,214,0.3051263,214.6213,3.411606,1.5168806,0.013545394,-0.04871863,25,10,0.2241946,28,225,3390.607249,4.54131134,746.6141,16.86267,12,1804.399391,85.15490222,21.18961,17.21056,11,3154.299045,75.26182226,41.91101,16.01466,1.462481,1.195892,0.3478832,0.8480091,134.6162809,-3.731850286,54.17591415,40.3726157,1.0098224,16.86267
0.2,NGC_869,4.58372E+17,34.67962506,0.0207539,57.1389406,0.029295984,0.283888087,0.036524958,7.772441,-0.942740894,0.062767482,-1.299850199,0.079848669,0.2797676,0.02273316,-0.1205611,-0.1118462,-0.2309191,-0.1787864,-0.11859,0.2989946,0.1422628,0.3343107,231,230,-2.619243,173.3248,24.65594,1.626864,0.005601593,0.008929782,27,13,0.08699095,30,236,20783.89701,8.148236057,2550.723,14.89405,24,11703.67195,25.5883593,457.3827,15.18058,22,13654.80885,22.08561615,618.267,14.42371,1.220102,0.7568769,0.2865343,0.4703426,134.5925239,-3.743589509,54.14297519,40.38099142,0.9437505,14.89405
0.3,NGC_869,4.58375E+17,34.79426532,0.048531537,57.13761509,0.061824262,0.300073317,0.079481268,3.775397,-0.683481867,0.141327839,-0.895785919,0.160290205,0.3654044,-0.1419106,-0.288832,-0.130929,-0.2042036,-0.2007306,-0.06641728,0.4028207,0.1890373,0.302695,219,214,2.795731,270.735,4.156508,1.4923313,0.012052485,0.01628252,25,13,0.16128,29,226,5478.652705,4.61478765,1187.195,16.34168,8,2559.096342,39.63450204,64.56739,16.83117,5,4788.919225,78.6953325,60.85392,15.56133,1.341208,1.269845,0.4894905,0.7803545,134.6517598,-3.724166645,54.21597683,40.35310606,1.1565137,16.34168
