RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,e_plx,pmRA,e_pmRA,pmDE,e_pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
35.65321879839,56.83159567643,458305789673621504,135.1970388118,-3.8531867432,0.4081,0.0412,-0.996,0.093,-0.854,0.1,246,12.606993,0.400052,0.2,NGC_884,35.65322663667,56.83159935337
35.66512683382,56.98012261997,458401657649840384,135.1517055348,-3.7115662409,0.4178,0.0494,-0.297,0.101,-0.895,0.11,286,16.02187,1.121654,0.2,NGC_884,35.66512918045,56.98012647344
36.08182638119,57.02793878529,458396160091595904,135.3481194521,-3.5876322653,0.4212,0.0361,-0.471,0.067,-1.218,0.076,280,15.541954,0.951808,0.4,NGC_884,36.0818301074,57.02794402946
36.12394950125,57.14371036886,458399145082994176,135.3287687995,-3.4712109027,0.3139,0.1337,-1.102,0.246,-1.3,0.265,280,17.981394,1.441906,0.1,NGC_884,36.12395824674,57.14371596608
35.55911113994,56.925155186,458401039174609024,135.1163251923,-3.7831024238,0.3546,0.0971,-0.878,0.191,-1.185,0.196,284,17.332935,1.311243,0.3,NGC_884,35.5591180669,56.92516028808
35.49527579913,56.99084561648,458404372069178624,135.0609407675,-3.7333785343,0.3971,0.0548,-0.691,0.106,-1.099,0.116,262,16.191341,1.197903,0.5,NGC_884,35.49528126038,56.99085034829
36.08601697462,57.03043477469,458396160091592448,135.3493791476,-3.5844937404,0.4204,0.0296,-0.536,0.054,-1.019,0.063,281,15.071665,1.004651,0.4,NGC_884,36.08602121535,57.03043916205
36.0874096085,57.03010285214,458396160091592576,135.350206951,-3.5845379333,0.3252,0.0851,-0.942,0.155,-1.356,0.173,292,17.14709,1.728788,0.1,NGC_884,36.08741706136,57.03010869047
36.11328255227,56.99819519621,458395777831258880,135.3746679931,-3.6094483326,0.3348,0.1244,-0.388,0.234,-1.315,0.283,296,17.801413,1.932665,0.3,NGC_884,36.11328561939,56.99820085802
35.66921779394,56.91155017627,458400111461674368,135.1775621314,-3.775138602,0.3489,0.0431,-0.71,0.094,-1.336,0.118,244,15.346807,0.847255,0.5,NGC_884,35.66922339343,56.91155592849
36.08216122928,57.02889811213,458396160091593856,135.3479524078,-3.5866701208,0.4523,0.0435,-0.725,0.083,-1.127,0.092,299,16.02231,1.157583,0.5,NGC_884,36.08216696511,57.02890296449
35.74604256714,56.97656179649,458402173045911168,135.1943953539,-3.6996378981,0.3694,0.0761,-0.007,0.155,-0.729,0.168,286,16.770815,1.21616,0.2,NGC_884,35.74604262244,56.97656493524
35.9555167209,56.98753247828,458396366250093696,135.2977803384,-3.6495940889,0.3726,0.0268,-0.496,0.053,-1.065,0.059,283,14.563768,0.666802,0.5,NGC_884,35.95552064063,56.9875370637
35.44309306004,57.04480722932,458405574650070656,135.0156584167,-3.6924282211,0.3154,0.1241,-0.727,0.234,-1.729,0.241,265,17.641535,1.753536,0.1,NGC_884,35.44309881415,57.04481467363
35.79889524959,56.8897555474,458388463510372864,135.2517025972,-3.7710293101,0.5029,0.0399,-1.167,0.082,-1.528,0.09,253,15.199637,1.323032,0.1,NGC_884,35.79890444788,56.88976212629
35.68107726196,57.01468652153,458403169478293248,135.1478973776,-3.6761303858,0.392,0.091,-0.414,0.163,-0.856,0.187,278,17.107512,1.201357,0.5,NGC_884,35.68108053606,57.01469020709
35.96102015492,56.95216847396,458389631741407488,135.3129946205,-3.6816734196,0.3111,0.0682,-1.123,0.162,-1.523,0.141,264,16.026777,1.277141,0.1,NGC_884,35.96102902122,56.95217503132
35.72325449681,57.07128880726,458403822313247744,135.1498317752,-3.6150848577,0.4254,0.0226,-0.495,0.04,-1.109,0.054,262,13.112093,0.562158,0.3,NGC_884,35.72325841747,57.07129358212
35.61916243196,56.99400602016,458404578227593216,135.123349523,-3.7071858188,0.3822,0.0469,-0.119,0.099,-0.944,0.093,264,15.727184,0.989536,0.2,NGC_884,35.61916337254,56.9940100846
35.85899913946,56.96222512408,458390215856960640,135.2572407548,-3.6916748041,0.3429,0.0341,-0.671,0.068,-1.204,0.077,252,14.992589,0.756976,0.6,NGC_884,35.85900443856,56.96223030797
35.81023958423,57.06253649604,458403616154816640,135.1973140117,-3.606878133,0.4186,0.0984,-0.698,0.198,-0.97,0.224,268,17.282295,1.173803,0.2,NGC_884,35.81024511145,57.06254067243
36.11948799006,57.1976129077,458399561705510016,135.3074858297,-3.4216124529,0.4244,0.0434,-0.373,0.08,-1.049,0.088,279,15.570181,0.912035,0.7,NGC_884,36.11949095451,57.19761742423
35.45991280619,57.00490739182,458405196702890752,135.0379762037,-3.726776504,0.3382,0.0379,-0.746,0.075,-0.965,0.096,273,12.467348,0.492841,0.4,NGC_884,35.45991870435,57.00491154668
36.02775754526,57.09675238658,458398771431633792,135.2963253334,-3.5335276734,0.3757,0.0249,-0.448,0.046,-0.937,0.058,288,14.15794,0.645403,0.7,NGC_884,36.02776109609,57.09675642089
35.44083429946,57.00602136719,458405368501582848,135.0278124596,-3.7292894809,0.4821,0.1011,-0.923,0.187,-1.475,0.188,250,16.911327,1.476986,0.1,NGC_884,35.44084159727,57.00602771788
35.81818829494,56.96612966223,458401932527744896,135.2349785573,-3.6957608687,0.428,0.0248,-0.685,0.051,-1.034,0.057,267,13.88682,0.591016,0.8,NGC_884,35.81819370517,56.96613411417
35.7152414292,56.97863558476,458402894600417792,135.1778971571,-3.7035110051,0.4066,0.0523,-0.685,0.099,-0.963,0.12,222,15.793028,1.024947,0.7,NGC_884,35.71524684125,56.97863973101
35.86856389923,56.96453208746,458390593814079360,135.2613326988,-3.6876950945,0.4392,0.0336,-0.444,0.067,-1.091,0.075,240,14.873232,0.699497,0.5,NGC_884,35.86856740586,56.96453678482
36.0638559438,56.96586649402,458395404177427200,135.3607992069,-3.6491842162,0.4208,0.0476,-0.751,0.097,-0.129,0.099,268,16.0657,1.368841,0.2,NGC_884,36.06386187527,56.96586704944
35.48634702302,57.01686407705,458405231062614272,135.0474157914,-3.7106090452,0.3628,0.0461,-0.654,0.09,-1.056,0.099,278,15.864358,1.023434,0.8,NGC_884,35.48635219546,57.01686862372
35.45854920459,57.02916659589,458405505940511488,135.0289453724,-3.7042410518,0.4426,0.0823,-0.687,0.156,-1.057,0.17,273,17.038176,1.207828,0.6,NGC_884,35.45855463982,57.02917114686
35.48853403528,57.00960540521,458405231062620928,135.0510325393,-3.7170184226,0.3487,0.0311,-0.677,0.059,-1.114,0.064,274,14.690347,0.696797,0.7,NGC_884,35.48853938858,57.0096102016
35.55785014287,57.02347555353,458404853105476992,135.081767578,-3.691025218,0.4089,0.0371,-0.66,0.069,-1.137,0.076,287,11.465279,0.442776,0.8,NGC_884,35.55785536369,57.02348044895
35.47704140195,57.00982002819,458405299782098560,135.0450684436,-3.718963684,0.4699,0.0778,-1.311,0.15,-1.358,0.163,278,16.885862,1.221642,0.2,NGC_884,35.47705176859,57.00982587513
35.42907630478,57.01492508171,458405368501575552,135.018729607,-3.7231159301,0.4697,0.042,-0.543,0.076,-1.045,0.092,258,12.658211,0.495523,0.5,NGC_884,35.4290805991,57.01492958102
35.74763011069,56.98144805954,458402173045905920,135.193510096,-3.6947549086,0.3236,0.0639,-0.42,0.133,-1.007,0.147,267,16.529125,1.249644,0.2,NGC_884,35.74763342928,56.98145239523
36.02107831095,56.96860615651,458395507256644736,135.3379564144,-3.6548055824,0.4143,0.0578,-0.365,0.114,-1.063,0.127,250,16.394802,1.199115,0.4,NGC_884,36.02108119397,56.96861073332
36.02271273584,57.10349419309,458398771431627392,135.2913849777,-3.5281754662,0.3679,0.0468,-1.045,0.089,-0.384,0.104,278,15.422703,0.845447,0.1,NGC_884,36.02272101997,57.10349584642
36.02632999401,56.96743115172,458395507256645376,135.3410557145,-3.6549016499,0.3184,0.0538,-0.533,0.109,-1.198,0.108,273,16.343319,1.263461,0.3,NGC_884,36.02633420387,56.96743630978
35.62948790382,56.9961226453,458401726369305344,135.1279074651,-3.7032582354,0.4785,0.0498,-0.775,0.095,-1.204,0.102,279,15.99848,1.118993,0.4,NGC_884,35.62949402982,56.99612782919
36.07046050037,57.13607828913,458398943230278400,135.3042410514,-3.4885650051,0.4376,0.0586,-0.63,0.112,-1.214,0.124,297,16.467045,1.262507,0.6,NGC_884,36.07046549903,57.13608351607
36.04168763647,57.10092056369,458398771431628160,135.3019588605,-3.5269692848,0.2922,0.0518,-0.69,0.099,-1.062,0.114,286,16.120853,1.188905,0.1,NGC_884,36.041693106,57.10092513619
35.75948176618,57.10501887052,458403955446282112,135.1566124424,-3.5766221361,0.4433,0.1229,-0.178,0.239,-0.871,0.264,268,17.586514,1.711378,0.3,NGC_884,35.75948317732,57.10502262066
36.12198934841,57.0976521529,458397912438162048,135.3440212407,-3.514693292,0.462,0.0491,-0.566,0.091,-1.111,0.104,327,16.297161,1.255689,0.7,NGC_884,36.12199383461,57.09765693637
35.56206303612,56.94441037366,458404028471829120,135.1111982871,-3.7644695286,0.3745,0.071,-0.831,0.135,-1.334,0.141,267,16.643005,1.524395,0.3,NGC_884,35.56206959566,56.94441611727
35.60451431699,57.01222332864,458404745722989568,135.1095495117,-3.6928380006,0.3459,0.0663,-0.571,0.146,-1.015,0.13,279,16.4645,1.368887,0.4,NGC_884,35.60451883242,57.01222769878
35.99743544521,56.89275923988,458389150705118848,135.3524977577,-3.7303609383,0.4899,0.0972,-1.021,0.196,-1.147,0.185,291,17.432436,1.406607,0.2,NGC_884,35.99744349338,56.89276417835
36.15413487896,57.10623342764,458398221676155520,135.3573620791,-3.5005099157,0.4563,0.0964,-0.575,0.181,-1.369,0.216,293,17.389404,1.563229,0.1,NGC_884,36.15413943755,57.10623932195
