RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
34.70516158073,57.13821417574,458377674554767360,134.6058651662,-3.7396787306,0.3883,-0.69,-0.488,137,15.474791,0.86155,0.4,NGC_869,34.70516705577,57.13821627685
34.75299319849,57.15650662371,458377743274615168,134.6243009893,-3.7138049324,0.3044,-1.055,-0.997,209,16.989855,1.327085,0.1,NGC_869,34.75300157388,57.15651091635
34.6592319184,57.25050165843,458379529980420096,134.5450355761,-3.6419914775,0.3644,-0.807,-0.911,281,14.812568,0.755709,0.8,NGC_869,34.65923834131,57.25050558079
34.70001458288,57.13687451053,458377674554769152,134.6036704199,-3.7418692794,0.3514,-0.637,-1.325,184,15.875511,1.103071,0.4,NGC_869,34.70001963719,57.13688021539
34.70498049104,57.13616206328,458377674554769024,134.6064547769,-3.7416471463,0.4276,-1.14,-1.417,160,14.820927,0.789604,0.3,NGC_869,34.70498953625,57.13616816425
34.75839562111,57.21694201134,458378563602827264,134.6069259299,-3.6558363106,0.421,-0.741,-0.96,221,13.571942,0.731936,0.6,NGC_869,34.75840151336,57.21694614467
34.49080403051,56.98531267705,458369187699233408,134.5462354959,-3.9225002797,0.4497,-0.295,-0.85,238,13.119136,0.414752,0.5,NGC_869,34.49080636166,56.98531633677
34.78473115385,57.13015890843,458374719617267840,134.6493598027,-3.7329204501,0.4047,-0.815,-0.97,216,16.538805,1.248844,0.6,NGC_869,34.78473761933,57.13016308482
34.7388834551,57.32512106072,458381351047136512,134.5609204558,-3.5573179284,0.4571,-0.628,-1.119,273,15.749181,1.054858,0.6,NGC_869,34.7388884635,57.32512587864
34.63634299873,57.25039558052,458379598699897216,134.5333629507,-3.6461902419,0.4019,-0.536,-1.167,291,11.914189,0.454329,0.7,NGC_869,34.63634726474,57.2504006051
34.65054287128,57.14374797284,458372039557674880,134.5760079921,-3.744281251,0.3909,-0.829,-0.969,256,15.167679,0.777775,0.8,NGC_869,34.65054945024,57.14375214492
34.9455729348,57.1135671393,458373963703024000,134.7373843306,-3.7193795529,0.4333,-0.674,-1.069,255,14.78977,0.796349,0.9,NGC_869,34.94557827932,57.11357174194
34.61474740818,57.02983189424,458369600016405120,134.5953854755,-3.8582169446,0.3861,-0.69,-0.913,243,14.514997,0.757646,0.4,NGC_869,34.61475286724,57.02983582521
34.80111787778,57.18595650382,458378189950780160,134.6391296842,-3.6773495011,0.5052,-0.387,-0.962,243,16.467806,1.284198,0.5,NGC_869,34.80112095253,57.18596064576
34.81904201847,57.18312008816,458375338092496768,134.6492541593,-3.6767853988,0.3874,-0.641,-1.06,211,10.738786,0.574515,0.7,NGC_869,34.81904711088,57.18312465205
34.61280532258,57.24201772121,458379186383037824,134.5240963531,-3.6583078728,0.35,-0.593,-1.004,265,14.734644,0.760535,0.8,NGC_869,34.61281004118,57.24202204399
34.91100600632,57.12191180333,458374169861447296,134.7168630104,-3.7178059583,0.3964,-0.687,-1.281,255,14.413548,0.832359,0.7,NGC_869,34.91101145515,57.12191731875
34.63096870911,57.02760845506,458371008765678848,134.6044725654,-3.8573955587,0.335,-0.642,-1.121,212,14.203247,0.671657,0.7,NGC_869,34.63097378811,57.02761328159
34.92601163863,57.17336376345,458375784769094016,134.7072797833,-3.6665994196,0.4514,-0.535,-1.065,239,13.250859,0.639314,0.8,NGC_869,34.9260158878,57.17336834887
34.9669635822,57.18444745246,458375849183500160,134.7245096688,-3.648714236,0.4391,-0.907,-1.18,239,12.697267,0.584905,0.6,NGC_869,34.9669707881,57.18445253302
34.62527724681,57.20068539054,458379010279428224,134.5441751074,-3.6950836221,0.5023,-0.725,-1.298,269,12.205882,0.466682,0.7,NGC_869,34.6252830093,57.20069097915
34.64217162524,57.23062575022,458379152023300096,134.5429003553,-3.6638027705,0.449,-0.743,-1.156,284,10.690744,0.517375,0.7,NGC_869,34.64217753559,57.23063072744
34.90556017498,57.17531564912,458376506323599872,134.6961570785,-3.6684729975,0.3963,-0.742,-1.031,229,13.538053,0.76811,0.9,NGC_869,34.90556606854,57.17532008815
34.96497050085,57.16918840755,458375819128832640,134.7286214616,-3.6634508403,0.4307,-0.643,-0.853,237,13.191791,0.735992,0.8,NGC_869,34.96497560722,57.16919208019
34.81166692403,57.08851710308,458374341660206848,134.6770864599,-3.7673081535,0.3596,-0.566,-1.071,255,14.736835,0.842018,0.8,NGC_869,34.81167140913,57.08852171433
34.71848209005,57.22029850925,458378529244469632,134.5853842684,-3.6598523945,0.3221,-1.046,-1.217,242,12.445756,0.588333,0.3,NGC_869,34.71849040835,57.22030374911
34.87653370838,57.1750043235,458375097574329984,134.6814030748,-3.6740301337,0.3304,-0.838,-1.291,196,14.866071,0.84253,0.5,NGC_869,34.87654036439,57.17500988197
34.85432203552,56.99915118081,458367194834726400,134.7289003419,-3.8438055601,0.3787,-0.613,-0.919,245,14.202146,0.654248,0.8,NGC_869,34.85432688138,56.99915513762
34.9051730462,56.98944225866,458355512523685120,134.7583182267,-3.8436915421,0.3374,-0.576,-1.1,255,14.837726,0.6625,0.8,NGC_869,34.90517759838,56.98944699477
35.09974447795,57.15145575903,458363960710661376,134.8035651553,-3.65555018,0.3306,-0.533,-0.948,257,12.027639,0.619565,0.6,NGC_869,35.09974870873,57.1514598407
34.88337860168,56.99156001989,458355546883423616,134.7463941218,-3.8456692256,0.2826,-0.715,-0.987,225,15.446434,0.852739,0.3,NGC_869,34.88338425272,56.99156426947
34.59786299124,57.22081960434,458379083303825536,134.5234658333,-3.6809876391,0.3665,-0.813,-1.0,288,14.550006,0.667422,0.7,NGC_869,34.5978694567,57.2208239099
