col1,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,dist_2264_center,PMemb
7301,1635721458409799680,b'Gaia DR2 3326694647427491328',3326694647427491328,225943528,2015.5,100.45547621954718,0.05217069923426666,9.596956372310803,0.05064950398676337,1.3822895291467907,0.05879750357636901,23.509323,-1.6882640257751658,0.10358166934869234,-4.076517661127303,0.08798638819168934,0.06614013,-0.06277072,-0.22911075,0.18142422,-0.41896674,0.10489457,-0.33656397,0.17891143,0.125351,0.032309018,150,0,148,2,-0.17235474,139.44836,0.0,0.0,31,true,7.3684087,1.453128156769486,0.013280451383513303,0.097224325,17,11,0.0992749,0,17,false,148,6556.748583003296,4.754506134356971,1379.0598,16.146645,16,2541.9728014338048,16.487972439210882,154.17134,16.83846,17,5901.507771884385,15.566371181030643,379.11905,15.334513,1.2877542,0,1.5039482,0.69181633,0.8121319,,,0,,,,b'NOT_AVAILABLE',203.29738219955064,2.2472261619365965,100.60191928722612,-13.45835738969381,100001.0,4442.62,4329.0,4650.24,0.5875,0.2879,0.7341,0.2857,0.141,0.357,200111.0,0.71246195,0.6502633,0.75035167,0.17814547,0.16184795,0.19444299,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326694647427491328',b'',0.33525625716813334,0.3363726704692222,0.9429999893903732
7367,1635721458409799680,b'Gaia DR2 3326695751234902912',3326695751234902912,235857595,2015.5,100.31025393446451,0.03486384520889575,9.555935016478122,0.03242428371968398,1.3006393038381847,0.038497050581365544,33.785427,-2.730089838362167,0.06700863178974915,-3.489172967655125,0.05882217921318495,0.042357475,0.05266827,-0.2093345,0.22272687,-0.27401254,0.13061501,-0.32626104,0.2724186,0.15178691,0.015435877,123,0,122,1,0.23835091,120.00476,0.0,0.0,31,false,27.496164,1.4486221907489902,0.010745526642464757,0.05146319,14,11,0.06893321,0,14,false,123,21948.08426732707,101.30899816785933,216.64496,14.834874,14,7549.331921060081,132.1449766709171,57.12916,15.656617,14,21502.953888917145,254.88337580034116,84.36389,13.930675,1.3236821,0,1.7259426,0.821743,0.9041996,,,0,,,,b'NOT_AVAILABLE',203.26851260580034,2.1010881474804344,100.45817213072127,-13.509823940903573,100001.0,4096.375,3924.4834,4268.0,2.816,2.6259,2.9464,1.426,1.343,1.5185,200111.0,1.781757,1.6413419,1.9412563,0.8053608,0.7504689,0.8602527,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326695751234902912',b'',0.3366262591870175,0.33664323425232723,0.9229999935626984
7395,1635721458409799680,b'Gaia DR2 3326695923033606912',3326695923033606912,356271214,2015.5,100.24379695269391,0.053379324810776285,9.558796065566048,0.049010250105151705,1.0155752243085667,0.05613441300216924,18.091846,-1.381205904639987,0.1030534668922062,-4.025549976171898,0.08721080361443095,-0.14070603,0.020862807,-0.39677635,0.20970526,-0.25376856,0.11071233,-0.47764593,0.32087275,0.1220491,-0.10709895,155,155,148,7,14.908838,570.66455,0.1379843877118518,5.64827524871243,31,true,40.617096,1.7882080654308197,0.016299965372308645,-0.021777907,18,11,0.06446685,0,18,false,145,1553855.0713217247,718.4436142945106,2162.8074,10.20984,18,1150042.1105043278,1889.0531349870091,608.7929,10.199604,14,648591.7860895419,423.7221271977555,1530.7008,10.231992,1.1575301,0,-0.032387733,-0.010235786,-0.022151947,,,0,,,,b'NOT_AVAILABLE',203.23602214604017,2.04409065992796,100.39073735463661,-13.511753653427002,100001.0,9542.667,6394.75,9770.0,0.3177,0.2049,0.422,0.162,0.1089,0.211,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326695923033606912',b'',0.33709445461052945,0.33720726754214714,0.9430000007152557
7461,1635721458409799680,b'Gaia DR2 3326708533057223808',3326708533057223808,267782277,2015.5,100.00502412020617,0.11316880839245977,9.710114866579541,0.11917317440635448,1.497808826702392,0.14436421182540696,10.375209,-2.605135844501862,0.21362875750147892,-3.588811740055961,0.191737433058105,-0.18024652,-0.06366173,-0.24053681,0.3653287,-0.42891294,0.17910968,-0.35627183,0.32920137,0.095968485,-0.18336824,126,0,126,0,3.2564058,178.19177,0.44975003145978065,3.6401135043561763,31,false,1.6807413,1.3302974074986975,0.032274511017392246,-0.11056952,15,10,0.21011971,0,15,false,124,2488.31954536176,4.738301602649496,525.1501,17.1986,11,547.6011565564423,7.9830022223191435,68.595894,18.505228,14,3090.7047613431746,14.893344976851758,207.52254,16.036776,1.4621538,0,2.4684525,1.3066273,1.1618252,,,0,,,,b'NOT_AVAILABLE',202.99371592398674,1.9038398900041325,100.1381399505711,-13.377750698312303,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326708533057223808',b'',0.33824862011701495,0.3418121274080885,0.8319999924302102
7470,1635721458409799680,b'Gaia DR2 3326695923033606784',3326695923033606784,1561077844,2015.5,100.24693100040848,0.21418852519626327,9.556951808746344,0.20054910786505845,1.4764949069194377,0.24021658589828113,6.1465154,-2.3726354959637908,0.4103745239424412,-3.4632046562527123,0.3489462070623415,-0.1291707,0.059766293,-0.29343092,0.2452389,-0.32132384,0.11163726,-0.4296921,0.32767102,0.16262972,-0.09367062,146,0,146,0,22.319103,943.6117,1.4201058265744455,43.67207770644243,31,false,0.4144192,1.2962040305538565,0.05945192910708143,0.0037434062,17,11,0.3809498,0,17,false,146,2712.757770782279,13.57490765850089,199.83618,17.104837,12,668.7823119019044,19.280744306070513,34.68654,18.288176,13,4735.590535542434,46.09616656650748,102.73285,15.573484,1.9922062,0,2.7146912,1.1833382,1.531353,,,0,,,,b'NOT_AVAILABLE',203.23907619843726,2.0459978502883835,100.39404547353267,-13.513368139664784,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326695923033606784',b'',0.3384786639291056,0.33857816211496905,0.702999993339181
7499,1635721458409799680,b'Gaia DR2 3326691112669868416',3326691112669868416,1364960235,2015.5,100.17634694734062,0.10001421063710977,9.573600205125883,0.09326608345579739,1.4542125073397454,0.10799662468521971,13.465351,-2.8667910513004173,0.1909993814550823,-3.489004959429675,0.16089205731819695,-0.24827828,-0.042502623,-0.36298805,0.36806813,-0.21122426,0.26394105,-0.4568425,0.36720538,0.073863246,-0.227138,149,0,148,1,3.6313975,212.75336,0.3777764333394982,3.3890543799427766,31,false,2.0417645,1.3352920961211905,0.029075394385105344,-0.08269673,17,10,0.19284861,0,17,false,144,2762.3915267186107,6.761992490809881,408.5174,17.085154,11,618.4781089878257,11.637087832658285,53.147156,18.373077,12,3591.9897859690323,35.78281385603262,100.3831,15.873582,1.5242112,0,2.4994955,1.2879238,1.2115717,,,0,,,,b'NOT_AVAILABLE',203.19244527797719,1.9916842855381633,100.32140942463214,-13.50181159396729,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326691112669868416',b'',0.33914429240280786,0.33973335415513456,0.83099999204278
7501,1635721458409799680,b'Gaia DR2 3326695888673864448',3326695888673864448,1008384320,2015.5,100.27233743185477,0.049976843544791885,9.553719954594765,0.04413052588810627,1.2154596236869464,0.04927394481784237,24.66739,-2.763127421283606,0.1006607550553139,-3.4631694400237687,0.0797209176681912,-0.06375607,-0.034689985,-0.46155953,0.13891216,-0.22484592,0.08823578,-0.48554763,0.21495244,-0.023774529,0.09973452,120,0,120,0,4.7495146,202.1426,0.20970507086841036,5.179369015552193,31,false,13.406638,1.4415079214318123,0.015502730911328104,0.041334104,14,9,0.101935014,0,15,false,120,26159.162150435717,92.82613285667273,281.80817,14.644306,9,9444.948912483083,95.16974460221554,99.24319,15.413389,8,25420.707625057763,174.4584540420776,145.7121,13.748951,1.3328277,1,1.6644382,0.769083,0.8953552,,,0,,,,b'NOT_AVAILABLE',203.25340157897037,2.0668111226006847,100.4199865422015,-13.514765842314711,100002.0,4220.0,4062.5525,4435.47,,,,,,,200111.0,1.8926173,1.7132013,2.0421598,1.0234582,0.9320193,1.1148971,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326695888673864448',b'',0.33916608234510703,0.3391918270493332,0.6969999942928553
7516,1635721458409799680,b'Gaia DR2 3326695923033607296',3326695923033607296,1435679862,2015.5,100.24605357036631,0.12978558531691795,9.556158277246874,0.11401270464640424,1.1969524558235836,0.13300928574677212,8.999014,-1.3251038760986238,0.2800467832593311,-3.52574971400819,0.21391134929745478,0.10209846,0.021035567,-0.18377554,0.19969206,-0.35253593,0.17756587,-0.24190679,0.04489018,-0.03926062,0.30579346,138,0,137,1,7.603738,296.95303,0.6067981482009458,6.92468746778763,31,false,1.407538,1.3690073396315754,0.039064166884984056,0.03040387,16,10,0.26275915,0,17,false,139,3840.5251650672535,33.402547193239634,114.97701,16.727388,11,1384.4877223769079,110.36210305149945,12.544956,17.498165,10,4757.551171955216,144.68693440182648,32.88169,15.568461,1.5992706,0,1.9297037,0.77077675,1.158927,,,0,,,,b'NOT_AVAILABLE',203.23938719935606,2.0448657031819555,100.39321733383552,-13.514222534052767,102001.0,3970.855,3633.6667,4280.19,,,,,,,200111.0,0.89615357,0.7713019,1.0701885,0.17988531,0.13919921,0.22057141,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326695923033607296',b'',0.3393847445643933,0.33948749226339403,0.7089999958872795
7612,1635721458409799680,b'Gaia DR2 3326690799136764672',3326690799136764672,778348179,2015.5,100.2303140401966,0.19656990842170166,9.556909469609865,0.18373033158731336,1.3043034824089288,0.22138473124474736,5.891569,-2.4794489406260776,0.3753648446917989,-3.8256276642859373,0.31501172821288675,-0.10172428,0.04034822,-0.22199863,0.30125052,-0.33988637,0.17053664,-0.3730194,0.30298594,0.14575505,-0.08141197,157,0,156,1,4.8754163,251.62189,0.8156065742626105,3.857795059768073,31,false,0.4619958,1.217489399570899,0.06013749992398425,-0.038233142,18,11,0.3459168,0,18,false,155,853.2047335185639,2.1518362940145157,396.50076,18.360733,15,224.6087803616123,16.206570059980418,13.859118,19.472822,16,1284.289303494391,10.707198062929367,119.94635,16.990263,1.7685064,0,2.4825592,1.1120892,1.37047,,,0,,,,b'NOT_AVAILABLE',203.23162549237733,2.03140089806991,100.37724031255898,-13.514601941063853,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326690799136764672',b'',0.34116563623273244,0.341341387501225,0.8409999895095825
7655,1635721458409799680,b'Gaia DR2 3326702760621176704',3326702760621176704,514750703,2015.5,100.1611600194542,0.17862520033527396,9.57618557129367,0.1668377363486688,1.4998788515827255,0.19443339117683164,7.7141013,-1.2580954636286334,0.3374856558322626,-3.8392453398054505,0.2763625524455789,-0.23324475,-0.023484053,-0.33349368,0.38999036,-0.23878205,0.26792797,-0.46010506,0.3716637,0.055857003,-0.17861222,150,0,149,1,3.1905458,204.37218,0.5782928286767949,2.299160352395391,31,false,0.6471744,1.1476709635860263,0.05172743999143643,-0.07865999,17,10,0.32948098,0,18,false,148,987.7534205693893,2.8598099942968513,345.39127,18.201744,15,173.47394604475576,13.031961477819852,13.311422,19.753302,13,1610.908337531919,6.985157077939766,230.61877,16.744244,1.8065058,0,3.009058,1.5515575,1.4575005,,,0,,,,b'NOT_AVAILABLE',203.18329842317064,1.9795442283804148,100.30585665964347,-13.500314539658763,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326702760621176704',b'',0.34217330655740164,0.34291598616909913,0.7589999935030938
