,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,PMemb
3,1635721458409799680,b'Gaia DR2 3326740006577519360',3326740006577519360,338009198,2015.5,100.29325409429428,0.0519739720592213,9.883824873788944,0.05314037532553416,1.1662958268117398,0.06108133404500317,19.094145,-1.772967849778027,0.099508476997784,-4.213214168266864,0.09344390398068032,-0.3016528,0.10637928,-0.2939462,0.308379,-0.40382665,0.12746298,-0.43541947,0.31691542,0.17210461,-0.24994807,156,156,154,2,17.077967,679.16113,0.13751518251022224,5.479144731990613,31,False,37.789845,1.7755988689206053,0.013532945901872642,-0.13038279,18,11,0.0653994,0,18,False,145,2058034.1489937364,1104.4999031525902,1863.3176,9.904735,16,1499564.2082154502,1790.222161917819,837.6414,9.911475,16,870721.416809137,800.6426505666448,1087.5282,9.912222,1.1517231,0,-0.000746727,0.00674057,-0.007487297,,,0,,,,b'NOT_AVAILABLE',202.96891314673636,2.2358517570500953,100.41635963577,-13.184036584280818,100001.0,9670.667,9200.25,9831.0,0.3173,0.1884,0.4576,0.1583,0.0864,0.211,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740006577519360',b'',0.008433223207247745,0.8
5,1635721458409799680,b'Gaia DR2 3326740075296996608',3326740075296996608,669586837,2015.5,100.28833055607666,0.08059057852055515,9.883731465325921,0.08142787052634927,1.456876921447634,0.07888007871730879,18.469517,-1.381547743870945,0.14731232144965486,-3.8060880153086316,0.1395591266771284,-0.523801,0.10280758,-0.40858006,0.5113141,-0.30623636,0.38421956,-0.55356187,0.2497921,0.07670757,-0.43986174,157,0,155,2,3.2987592,213.85217,0.2888875193162198,3.1743818576768748,31,False,3.5990098,1.3834165201516744,0.018468054629108978,-0.14738454,18,10,0.17399064,0,18,False,157,4760.70208812953,37.24616102386617,127.81725,16.494188,16,1167.366837856123,53.90388134762575,21.656452,17.68337,16,5719.30250483975,116.44497726973404,49.11592,15.368563,1.4465659,0,2.314808,1.1891823,1.1256256,,,0,,,,b'NOT_AVAILABLE',202.96678084183674,2.2314933286757084,100.41139814915033,-13.184483751602007,100001.0,3608.005,3417.0,4477.88,,,,,,,200111.0,1.1254046,0.73063093,1.2547377,0.1933662,0.17143314,0.21529926,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740075296996608',b'',0.01030905345708541,1.0
6,1635721458409799680,b'Gaia DR2 3326740002281694592',3326740002281694592,535645129,2015.5,100.29682258622029,0.05081594754564509,9.882132538886056,0.050553917279446595,1.3478389097651033,0.05610323513797325,24.024263,-1.478468185005951,0.09610760470406007,-3.8557863048897323,0.09130085556579531,-0.35610294,0.20152661,-0.289602,0.27336013,-0.386346,0.13733117,-0.41317815,0.23012601,0.12427822,-0.25724053,161,161,159,2,16.836754,676.9673,0.1418801836138991,6.011601257387255,31,False,36.901455,1.7794199239099169,0.013207767400038756,-0.15661809,18,11,0.06465639,0,18,False,156,1731621.980565813,847.3592908426299,2043.551,10.092233,17,1289283.1306928215,1934.2945733017468,666.5392,10.075518,16,708209.387466412,1069.1393162275558,662.41077,10.136516,1.1535385,1,-0.060997963,-0.01671505,-0.044282913,,,0,,,,b'NOT_AVAILABLE',202.97202580577726,2.2382074123436246,100.42008762501551,-13.185467717689274,100002.0,8748.333,7420.0,9705.0,0.087,0.0379,0.2241,0.0435,0.0146,0.1121,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740002281694592',b'',0.010362366596485217,1.0
7,1635721458409799680,b'Gaia DR2 3326740075296996736',3326740075296996736,289548265,2015.5,100.28688664016296,0.09218925410517567,9.883634292608802,0.08262582284824609,1.4431216296956346,0.09303725611957228,15.511223,-1.4644998400389966,0.1739039227618198,-3.8536373791657486,0.15539436865080014,-0.24770091,0.2743385,-0.37280634,0.18521021,-0.29590976,0.12553845,-0.42431977,0.115378946,0.08617586,-0.15811011,161,0,161,0,2.2959156,199.38344,0.2702716356842309,1.5415661914568226,31,False,2.2650554,1.2825321867920663,0.021110468484401446,-0.09872641,18,11,0.17127872,0,18,False,161,2435.8795257462402,83.04925235360825,29.330542,17.221725,16,685.5217435714228,53.39899144915202,12.8377285,18.261335,16,3297.442186269764,377.03381370866003,8.745747,15.966477,1.6351235,0,2.294858,1.0396099,1.2552481,,,0,,,,b'NOT_AVAILABLE',202.96621762923775,2.2301832980525225,100.40994832789598,-13.184684452908751,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740075296996736',b'',0.011256247013406044,0.9
10,1635721458409799680,b'Gaia DR2 3326740006577518848',3326740006577518848,247139738,2015.5,100.30342303794208,0.032361977649125295,9.878714956407403,0.03202986687625071,1.3091174254132327,0.03598623136531883,36.378284,-1.7161301179685424,0.060407861010203796,-3.818737622479513,0.05490693719784917,-0.33240762,0.17921099,-0.25168812,0.33963302,-0.38486758,0.19111338,-0.43617478,0.24625383,0.12094106,-0.20760229,171,0,169,2,-3.3785195,109.59618,0.0,0.0,31,False,21.024837,1.4458724994686751,0.008072070051343071,-0.12230111,19,11,0.06926899,0,19,False,171,17130.066497345968,98.94444374960065,173.12813,15.103968,19,6168.718562415314,204.96746023363735,30.096087,15.875901,18,16508.00225907698,243.52828078874802,67.7868,14.217684,1.3237964,0,1.6582174,0.77193356,0.8862839,,,0,,,,b'NOT_AVAILABLE',202.97803899314744,2.242433510873942,100.42700486315131,-13.18840115354747,100001.0,4256.0,4174.0,4338.0,,,,,,,200111.0,1.3847126,1.3328577,1.4396535,0.5667878,0.53035533,0.6032202,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740006577518848',b'',0.016197131455717134,1.0
12,1635721458409799680,b'Gaia DR2 3326740826920796160',3326740826920796160,566200551,2015.5,100.27710999031584,0.07821653866448884,9.895905069803582,0.07933777330109996,1.3363298908020036,0.08828486650431663,15.136568,-1.7363244398755824,0.14979061934863308,-3.729502177385024,0.13525730031173436,-0.28006417,0.07399457,-0.21814233,0.38080108,-0.43215817,0.25082234,-0.37980878,0.17952897,0.08802193,-0.20555781,161,0,161,0,1.4319247,181.94473,0.0,0.0,31,False,2.9614525,1.3221630122975812,0.01934946722232332,-0.09202891,18,11,0.15221806,0,18,False,159,2983.1667065095453,5.056983944513792,589.9103,17.001673,14,821.0997455739976,14.50412060827374,56.61148,18.0654,13,3535.1406782796553,20.47495780618436,172.6568,15.890903,1.4602739,0,2.1744957,1.0637264,1.1107693,,,0,,,,b'NOT_AVAILABLE',202.95089196149283,2.2272144006906176,100.39916376769804,-13.173148673840888,100001.0,3642.5,3507.0,3933.395,2.43,1.953,2.6741,1.196,0.942,1.3698,200111.0,0.9410639,0.80701774,1.0151885,0.14045304,0.12121352,0.15969257,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740826920796160',b'',0.017342557333358273,1.0
16,1635721458409799680,b'Gaia DR2 3326741209166292608',3326741209166292608,877038825,2015.5,100.27673326236318,0.09169357141121368,9.902908747658769,0.08178589860908238,1.4462650965713948,0.09434303468199468,15.329856,-1.5465143363823246,0.20395234793615766,-3.5789123507649188,0.15275533935707378,0.058505543,0.15921734,0.16129807,0.45342323,-0.46113732,0.45516893,0.039355688,-0.11036465,-0.112076275,0.40856346,133,0,133,0,4.095405,204.43181,0.3138323743103282,3.4551322295575364,31,False,3.5519922,1.3400974887323962,0.018689078677356547,0.0070009925,15,9,0.20382044,0,16,False,133,6208.192722618175,12.119502448281906,512.24817,16.205954,12,1787.1890438767612,29.868777108723343,59.83469,17.220963,14,9120.591773519573,46.18703168240523,197.47084,14.861862,1.7569978,0,2.3591003,1.0150089,1.3440914,,,0,,,,b'NOT_AVAILABLE',202.94448615218207,2.2300809130921557,100.39825940369435,-13.166190670283,102001.0,3678.9624,3482.0,4273.42,,,,,,,200111.0,1.2137487,0.8995562,1.3549458,0.24313843,0.21038587,0.275891,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326741209166292608',b'',0.020359328088348987,0.9
19,1635721458409799680,b'Gaia DR2 3326740796851503360',3326740796851503360,830194860,2015.5,100.27170935652747,0.040878552456251015,9.887689574789587,0.039963672908159616,1.3477874445519278,0.04022499279541377,33.506218,-1.4243134546708291,0.08493489087615248,-3.5595877725440164,0.08908735184681292,-0.35939398,-0.03625635,-0.3579626,0.44289514,-0.2624893,0.38442153,-0.41138932,0.10680216,0.07655057,-0.44372463,143,0,142,1,5.8199635,256.6687,0.18091561636008877,3.567725291502281,31,False,14.799793,1.4002508528345188,0.00980978257473271,-0.15444008,16,9,0.10964484,0,19,False,144,24611.531513449347,62.72439056440548,392.37576,14.710519,17,8267.602765062371,74.20388370004778,111.41739,15.55794,18,24605.34456722653,134.41387447967531,183.05658,13.784347,1.3356726,0,1.773593,0.8474207,0.92617226,,,0,,,,b'NOT_AVAILABLE',202.9557769483476,2.218730694937948,100.39432889703089,-13.181730008972586,100001.0,4188.2075,3952.0,5122.64,2.8357,2.387,3.1515,1.4137,1.1374,1.563,200111.0,1.6955376,1.1333815,1.9042763,0.79693395,0.7427073,0.8511606,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740796851503360',b'',0.022712626399806552,1.0
22,1635721458409799680,b'Gaia DR2 3326740040937260160',3326740040937260160,108352499,2015.5,100.27420900132446,0.03170053906741773,9.879933555953825,0.030380663812238126,1.333906910039378,0.0350013008981988,38.11021,-1.6994835493031313,0.060719844240322084,-3.73805944899335,0.05486254058024925,-0.16093342,0.12539127,-0.23156865,0.2707347,-0.26808998,0.17696491,-0.39497375,0.25874802,0.12794012,-0.14112362,175,0,174,1,1.6323965,200.07578,0.0,0.0,31,False,18.003704,1.4276947606938297,0.007935325693510987,-0.012301545,20,11,0.06717744,0,20,False,174,15310.405415168641,18.610243038488406,822.687,15.225899,18,4994.511231824329,34.72202403642879,143.84274,16.105156,18,15448.804970976656,62.59162774397023,246.81903,14.289682,1.3352563,0,1.8154736,0.8792572,0.93621635,,,0,,,,b'NOT_AVAILABLE',202.96380790130024,2.217381488410445,100.39743180042991,-13.189285993823223,100001.0,3925.3333,3900.0,4290.01,2.2697,1.7726,2.494,1.15,0.9459,1.262,200111.0,1.6685175,1.3969063,1.6902642,0.5954734,0.55886394,0.6320829,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740040937260160',b'',0.023287963702658288,1.0
24,1635721458409799680,b'Gaia DR2 3326741209168361856',3326741209168361856,1489611730,2015.5,100.27367970880694,0.04201721104565095,9.905180358284367,0.04545270738927846,1.4661065850024677,0.05225499041320434,28.056776,-1.7805619608312786,0.0804249576951639,-3.8949054857481338,0.07267082978314299,-0.21404,0.006225423,-0.24614821,0.34787634,-0.5191995,0.16411684,-0.39970857,0.23182113,0.1199048,-0.15775713,151,0,150,1,2.1144505,183.29015,0.11727402222263099,1.1486350258718472,31,False,13.072858,1.3726123377891608,0.010884030779227921,-0.074881494,18,11,0.08458543,0,18,False,150,13635.636712929547,27.667171454566603,492.84534,15.351677,10,3772.0464679906904,37.5734019667561,100.3914,16.409946,12,15391.399140337475,162.89425407181955,94.48706,14.293725,1.4053943,0,2.1162214,1.0582695,1.0579519,,,0,,,,b'NOT_AVAILABLE',202.94108942111257,2.228441328647123,100.39500837789154,-13.164144293128894,100001.0,3909.7434,3606.5,4493.63,2.9067,2.597,3.1715,1.4555,1.2599,1.579,200111.0,1.4516994,1.0989517,1.7060876,0.4436506,0.4091106,0.4781906,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326741209168361856',b'',0.024115115841125533,0.9
