,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,dist_6231_center,PMemb
10,1635721458409799680,b'Gaia DR2 5966509885480902656',5966509885480902656,75674766,2015.5,253.54192165776044,0.056999364593117996,-41.825048702730896,0.043725664117739906,0.5886302707040181,0.05827910938520061,10.100193,-0.20199173744740048,0.10977079117295513,-2.076847456044597,0.07481213906888809,0.12506954,-0.21771383,-0.37811163,-0.16750543,-0.118283525,-0.10372202,-0.6841888,-0.034272596,0.22169483,0.0024335163,262,262,247,15,23.867315,1236.4235,0.18042415192710157,12.504582433085393,31,False,25.615211,1.6804057761343574,0.01121243571126665,0.10958719,30,12,0.065994814,0,35,False,254,76943374.19606467,101888.08626055234,755.17535,5.9729376,26,50917564.67413779,259408.94318061566,196.28299,6.084219,25,38948221.22317118,110260.45974016846,353.23834,5.785701,1.167947,0,0.29851818,0.111281395,0.18723679,,,0,,,,b'NOT_AVAILABLE',343.464435756068,1.1839132903782625,257.08835408273075,-19.120642676311046,100001.0,7947.0,7780.5,8207.5,0.2653,0.074,0.6331,0.143,0.0366,0.3428,200111.0,50.211166,47.074417,52.38316,9059.582,7871.9375,10247.227,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509885480902656',b'',0.005072338224330559,0.006662763977706544,0.7960000056028366
19,1635721458409799680,b'Gaia DR2 5966509846818671872',5966509846818671872,994196143,2015.5,253.5289526253272,0.04200271012395439,-41.823164689107536,0.035385826584645674,0.5001765470681252,0.045313246586693466,11.0381975,-0.6181198366424401,0.08271972371683843,-2.0147517765065692,0.060211907392630534,-0.022582626,-0.18666552,-0.40098128,-0.029362265,-0.22503296,0.053415574,-0.74188673,-0.07341276,0.3062805,-0.14310631,251,251,242,9,15.661293,766.16846,0.05985893981381962,1.3748216569290297,31,True,123.49673,1.711653776876036,0.008832211356891863,0.089752965,28,12,0.053542875,0,29,True,251,3119946.4727731682,1218.6507024646312,2560.1646,9.452998,25,2095607.600415461,2768.844813319637,756.85266,9.548113,25,1556570.9399290106,1345.2640143204283,1157.0747,9.281498,1.1705902,1,0.2666149,0.09511471,0.1715002,,,0,,,,b'NOT_AVAILABLE',343.4598026473244,1.1926020714737176,257.07796047716045,-19.119925299661176,100002.0,8385.0,8145.5,8634.25,0.883,0.7589,1.0181,0.4583,0.3856,0.519,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509846818671872',b'',0.005983838601590718,0.00738837353285174,0.6170000144839287
29,1635721458409799680,b'Gaia DR2 5966509885480897792',5966509885480897792,311166037,2015.5,253.545663137185,0.05475522067863012,-41.82753797739857,0.04109753822521836,0.5223281423740521,0.056882953158826376,9.1825075,-0.7391848197981543,0.10731801392814967,-1.9042684268834447,0.071090731859801,0.18719392,-0.31899396,-0.24848786,-0.15449603,-0.26964763,-0.010937619,-0.72368884,-0.108310476,0.3217715,0.06039863,214,214,204,10,15.43869,691.6988,0.08728514618687805,2.5965819612008514,31,False,77.344505,1.6680325146803012,0.010305703838775628,0.17488103,25,12,0.063686155,0,29,False,239,1709757.1729338132,809.730166149694,2111.5146,10.1060295,16,1116902.194762627,1914.4613699451502,583.40283,10.23135,16,891374.7125642187,637.9896218828566,1397.1617,9.886769,1.1745977,0,0.34458065,0.12532043,0.21926022,,,0,,,,b'NOT_AVAILABLE',343.4642615005681,1.1801797539317327,257.0915980901177,-19.122781672885782,100001.0,8046.5,7834.0,8446.0,0.669,0.488,1.0634,0.3483,0.2662,0.514,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509885480897792',b'',0.0076471466443151625,0.010241936646228057,0.5749999988079071
33,1635721458409799680,b'Gaia DR2 5966509782401678592',5966509782401678592,1377352669,2015.5,253.54197870401083,0.03419485805365142,-41.83318418715927,0.02699549722079792,0.555859545880736,0.04093838603325911,13.577954,-0.35273774537924,0.08607851338297422,-1.966264849810248,0.04447749119376092,-0.2857452,-0.2320363,-0.15630078,0.07459122,0.11269468,-0.02814183,-0.6462954,0.3197725,0.02137315,-0.1094799,129,0,129,0,-1.3125446,103.86376,0.0,0.0,31,False,115.166115,1.6745074059837373,0.006070280955032649,-0.040703323,15,8,0.086794324,0,27,False,139,92674.03926712337,66.18058326556994,1400.3207,13.27097,13,58035.009455771346,344.90125323110533,168.26558,13.442163,10,54259.89060070673,330.2835353898714,164.28276,12.925723,1.211719,0,0.5164404,0.17119312,0.34524727,,,0,,,,b'NOT_AVAILABLE',343.45814676005256,1.178750611409231,257.0894258278695,-19.128715009843216,100001.0,7098.75,6948.5,7812.3335,,,,,,,200111.0,2.2582612,1.8645601,2.3569796,11.667307,9.715938,13.618676,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509782401678592',b'',0.008128412425717477,0.00921918148006115,0.7559999909996986
34,1635721458409799680,b'Gaia DR2 5966509816761433344',5966509816761433344,1422996716,2015.5,253.5247224115589,0.052448433747801074,-41.82906953316432,0.039511864434024165,0.6795990573944507,0.05164351230192693,13.159428,-0.3911710470399366,0.09026988748981923,-2.0356860468623466,0.06508400489460874,-0.09573795,-0.35920793,-0.4982993,-0.008628811,0.0019236724,0.04441598,-0.75280833,0.0068622255,0.14340985,-0.14663152,188,188,182,6,12.566249,532.9397,0.0,0.035609170377470405,31,False,403.09827,1.7090129455741978,0.009344861523157218,0.00881998,21,10,0.05838636,0,28,False,208,401970.48584988125,286.1553359977348,1404.7283,11.67788,13,264718.1926596841,1059.8184279562893,249.77693,11.794429,16,213917.7489169315,580.5778588856967,368.4566,11.436303,1.1907241,0,0.3581257,0.11654854,0.24157715,,,0,,,,b'NOT_AVAILABLE',343.4532307432828,1.191324358691442,257.07539410841576,-19.12616423975021,100001.0,7927.0,7478.0,8380.75,,,,,,,200111.0,3.1560793,2.8235784,3.5464568,35.434467,31.764431,39.104504,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509816761433344',b'',0.008361369091315478,0.01100153153703564,0.9529999980330467
35,1635721458409799680,b'Gaia DR2 5966509846818674688',5966509846818674688,1174167812,2015.5,253.53124738055442,0.13500255961236332,-41.818909544386564,0.11472671981079807,0.6790531911956004,0.1555307929778718,4.366037,-0.5504417410617688,0.32128422367475196,-2.0702019234307234,0.22095169440149556,0.1388098,-0.029847415,-0.084783524,-0.12138832,-0.32442755,-0.19177672,-0.5291795,-0.05354956,0.36693913,0.31886485,174,0,173,1,3.6248474,242.73613,0.5388273258100819,3.4027687357791185,31,False,0.97994375,1.3317769717652765,0.02868329025979799,0.10325301,20,11,0.2987784,0,22,False,177,1609.421787484012,3.9196897323305775,410.59927,17.671692,17,614.1598554566183,31.9935257228943,19.196379,18.380684,15,2103.1517232070405,19.716553807532897,106.669334,16.454744,1.6883775,0,1.9259396,0.708992,1.2169476,,,0,,,,b'NOT_AVAILABLE',343.464184384632,1.1939583468467485,257.07921995682165,-19.115496457956002,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509846818674688',b'',0.008366345020623202,0.008826386180991033,0.5230000022053719
51,1635721458409799680,b'Gaia DR2 5966509816761424256',5966509816761424256,708795098,2015.5,253.52796074962762,0.04291616830547158,-41.83531571296022,0.03926796192348817,0.6618638817171147,0.04762566787223882,13.897209,-0.46366950913345184,0.09114184971638924,-1.7197242799635093,0.07205461044388833,-0.15713131,-0.14879692,-0.4485414,0.086475745,-0.19239572,0.14023905,-0.6315871,-0.04232368,0.24439035,-0.34190652,195,195,185,10,11.5882435,500.22806,0.0,0.48199588819943384,31,False,260.6007,1.715636725576306,0.009917333736144172,0.06452851,23,11,0.06172534,0,26,False,217,3376710.424725996,1338.494190466578,2522.768,9.367131,24,2283099.0796822747,3171.254916177079,719.93555,9.455076,23,1664449.9120619504,1602.2303631777202,1038.8331,9.208743,1.1690516,0,0.24633312,0.087944984,0.15838814,,,0,,,,b'NOT_AVAILABLE',343.44990445615207,1.1855125281475718,257.0787190791653,-19.132077662589236,100001.0,8333.667,8164.25,8567.505,0.814,0.4622,0.9593,0.3927,0.1844,0.4865,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509816761424256',b'',0.010304256351057368,0.011446381767530465,0.538000017106533
55,1635721458409799680,b'Gaia DR2 5966509778099205376',5966509778099205376,587435747,2015.5,253.5381177436794,0.05037909702999121,-41.83687325584676,0.04259212237185149,0.6671400646500121,0.05002810522289327,13.335305,-0.5285071539372954,0.10677275224076731,-1.9915082046767876,0.0718244120738943,0.10879805,0.1310171,-0.60024345,-0.08563184,-0.2500108,-0.03670831,-0.831094,-0.3093012,0.31708512,0.0051399223,202,185,197,5,6.810889,357.76923,0.0,0.0,31,True,220.93962,1.6806474365984163,0.00956555918278792,0.1491602,23,11,0.07055518,0,25,False,203,156728.3292755124,43.9753479232262,3564.0044,12.700497,17,99901.79980050253,474.657219749438,210.47147,12.852455,14,88958.75694640829,132.39145775513046,671.9373,12.388948,1.2050186,0,0.4635067,0.15195847,0.31154823,,,0,,,,b'NOT_AVAILABLE',343.4534686144753,1.1786571933103378,257.0868685546894,-19.13272091121174,100001.0,7675.25,7292.0,7954.0,,,,,,,200111.0,2.1190836,1.9731585,2.347685,14.0398035,12.551483,15.528124,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509778099205376',b'',0.010400252514431286,0.010547363450902522,0.883999984562397
56,1635721458409799680,b'Gaia DR2 5966509885480893824',5966509885480893824,415131072,2015.5,253.54919660199758,0.05137355147108445,-41.828581430510695,0.03620705833751528,0.6467229923577895,0.043692581559326815,14.801666,-0.7296272926513393,0.09445917855362079,-1.9326398633873996,0.060616758339281596,0.38197264,-0.17630994,-0.5007016,-0.34628487,-0.08457673,-0.27329636,-0.74598044,-0.080404356,0.15584642,0.20714161,207,207,199,8,13.966125,618.1795,0.0,0.02925694380207717,31,False,413.66974,1.7093704008456372,0.008356368642518465,0.22023815,24,12,0.0648199,0,27,False,208,732421.3530066914,490.1469999795799,1494.2892,11.0264635,20,481018.28956215834,1169.3308679649874,411.362,11.145985,19,395528.4622368256,903.1632317702114,437.93686,10.768975,1.1967794,0,0.3770094,0.11952114,0.25748825,,,0,,,,b'NOT_AVAILABLE',343.4651117815077,1.1774781621049506,257.09449663666896,-19.12350373036909,100001.0,7983.0,7620.75,8368.25,1.146,0.8834,1.2654,0.5863,0.4684,0.6464,200111.0,4.427149,4.028906,4.8580384,71.714584,64.8101,78.61907,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509885480893824',b'',0.010408235377296186,0.013871064317220305,0.8000000053644181
88,1635721458409799680,b'Gaia DR2 5966509778099214592',5966509778099214592,13772828,2015.5,253.54793751281557,0.04103295833746826,-41.83499616545061,0.039521903107161215,0.47997723268588577,0.05633329916636925,8.520311,-0.20536079895163492,0.07524054683735015,-2.1249124212194634,0.0646041851580355,0.15518971,-0.31040555,-0.1906384,-0.21133682,-0.594281,0.12504865,-0.8009905,-0.19235544,0.5886034,-0.2505885,194,0,194,0,-1.7066535,157.13258,0.0,0.0,31,False,21.659658,1.5035309148070348,0.008848634086652634,0.084848695,22,11,0.082970455,0,27,False,211,17382.435568453242,17.774923747270734,977.919,15.088089,14,7558.808011724104,48.38263693234916,156.22977,15.655255,13,15437.606657355967,57.83205526424199,266.93857,14.29047,1.3229685,1,1.3647852,0.5671663,0.79761887,,,0,,,,b'NOT_AVAILABLE',343.4595399349446,1.174162056255972,257.09432029047207,-19.129984563638754,100002.0,4546.6533,4389.0,4951.0,,,,,,,200111.0,3.1235495,2.6341846,3.351976,3.7562876,2.8031428,4.7094326,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5966509778099214592',b'',0.01248120844576958,0.015003682821419074,0.5180000006407499
