,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,dist_1893_center,PMemb
4,1635721458409799680,b'Gaia DR2 181173510234422912',181173510234422912,702702896,2015.5,80.65409329839042,0.04920543169707157,33.38697097152202,0.04191716886252288,0.2303031586348398,0.05120792947823609,4.497412,-0.5071406688738467,0.09372921889087985,-1.3594680636632046,0.07008025973226344,-0.2035152,0.086034544,-0.48802477,0.24910133,-0.28150296,0.114924215,-0.69532037,0.35573733,0.2217725,-0.06543012,132,96,132,0,0.8833218,140.88878,0.0,0.0,31,True,186.52261,1.6376876639650007,0.009514692004130843,-0.08764182,15,9,0.06649578,0,17,False,127,143119.6253632609,42.22018215342043,3389.839,12.799118,15,83571.83180651716,227.3096155843014,367.65637,13.046238,14,91460.61483068307,159.86247945459897,572.1206,12.358834,1.22298,0,0.6874037,0.2471199,0.44028378,,,0,,,,b'NOT_AVAILABLE',173.59153315264928,-1.7145754011831313,82.08094140868538,10.204249936643249,100001.0,6277.0,6071.0,6562.0,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173510234422912',b'',0.006233666077273755,0.0072406797273099986,0.784000004529953
28,1635721458409799680,b'Gaia DR2 181173441514942336',181173441514942336,1354923743,2015.5,80.6729355800811,0.044613401056393914,33.38441817452206,0.03236438473995265,0.27900857855797084,0.04156295254129625,6.7129154,-0.18640618750739688,0.08135725822276213,-1.6099729615675018,0.051405757223866616,-0.5397079,0.024442084,-0.56221443,0.58974683,-0.24007338,0.45972776,-0.6444379,0.36325997,0.18322843,-0.42272916,142,0,142,0,0.74765754,149.04604,0.0,0.0,31,False,44.469986,1.6371823571826023,0.0088292489265348,-0.18263638,16,10,0.09471726,0,16,False,139,36795.96166219442,15.469967299227251,2378.5417,14.273866,13,20710.212063492763,49.702210711036145,416.68594,14.560926,13,24650.671895358813,129.2427998733643,190.73149,13.782348,1.2327679,0,0.77857876,0.28706074,0.49151802,,,0,,,,b'NOT_AVAILABLE',173.60254750727725,-1.703049916054082,82.09672272981248,10.200671035660552,100001.0,5861.0,5652.967,6197.0,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173441514942336',b'',0.011418147964870628,0.01323517979796089,0.8819999819993973
34,1635721458409799680,b'Gaia DR2 181173441514945920',181173441514945920,665280227,2015.5,80.66708524003859,0.06307352722887882,33.37742982353039,0.047350192475784265,0.0617451294618003,0.07838379951087644,0.7877282,-0.385934191617291,0.10620757875323125,-1.416479286795976,0.07200354964186707,-0.49566302,0.43696877,-0.15746498,0.60620385,-0.42572027,0.243761,-0.5673185,0.44504508,0.46277317,-0.11779488,122,0,122,0,3.086043,169.98451,0.13744255133604968,1.6689956847699357,31,False,16.438007,1.5997962348830146,0.011211046291912847,-0.16895582,14,8,0.10316416,0,15,False,122,21094.192808207776,13.077813334189257,1612.9755,14.877958,13,10865.390971661687,27.153392875311987,400.14856,15.261274,13,15415.691958304462,40.02929726896037,385.11023,14.292012,1.2458918,0,0.9692621,0.38331604,0.5859461,,,0,,,,b'NOT_AVAILABLE',173.6055455496995,-1.711032528475869,82.09130452978431,10.19401779430599,100001.0,5312.71,5089.6665,5370.0,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173441514945920',b'',0.013337987095613475,0.013786278429584003,0.7779999959468842
49,1635721458409799680,b'Gaia DR2 181173609015769472',181173609015769472,558218188,2015.5,80.67395206175276,0.1835741840029974,33.40044355943516,0.13941166268170488,0.5980574112506859,0.19110188839976286,3.1295211,-0.09119245802576526,0.3043707899405029,-1.3059729739627772,0.21268533711696946,-0.6400274,0.32375053,-0.30823874,0.6044172,-0.49502724,0.302073,-0.60936,0.31729394,0.3340486,-0.4156507,133,0,132,1,2.1226575,163.13324,0.30052102150099846,1.2094435488448696,31,False,1.468725,1.4167216100889464,0.0320899900514668,-0.23676018,15,9,0.31304792,0,15,False,130,1986.113593330632,4.352744059970643,456.29,17.443356,14,689.8658894378298,23.278857259202848,29.634869,18.254477,14,2197.335030271048,24.962733662233564,88.02461,16.407179,1.4536937,0,1.8472977,0.811121,1.0361767,,,0,,,,b'NOT_AVAILABLE',173.5898099479022,-1.6932810734716117,82.09864977581216,10.216606416505684,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173609015769472',b'',0.015360610426102773,0.01698236725799322,0.5480000083893537
50,1635721458409799680,b'Gaia DR2 181173437217001728',181173437217001728,320558957,2015.5,80.67693382949484,0.16592595621778164,33.38138278811841,0.125594565152921,0.4075790159936661,0.16734670031639942,2.4355366,-0.11903082303532977,0.2974181062325626,-1.305793166245373,0.19935705686443045,-0.54156935,0.09099609,-0.43143415,0.5800888,-0.34812406,0.4160183,-0.5944334,0.30817866,0.250723,-0.42996827,142,0,142,0,0.09306081,137.87563,0.0,0.0,31,False,1.4425894,1.4589107295849915,0.03128330720109823,-0.18262233,16,10,0.30649856,0,16,False,142,1678.961317635385,2.7602879096120057,608.25586,17.625765,13,786.9764806390828,13.320181847460843,59.081512,18.111485,11,1491.2574143133731,14.60144203302859,102.13083,16.82804,1.3569305,0,1.2834454,0.48571968,0.7977257,,,0,,,,b'NOT_AVAILABLE',173.60694135996698,-1.7020151060288797,82.09990566095584,10.197423525536783,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173437217001728',b'',0.015823432671095903,0.01815148665129325,0.5220000050216913
69,1635721458409799680,b'Gaia DR2 181173402856344704',181173402856344704,1083987017,2015.5,80.66534582111424,0.05186337960706882,33.371731735668725,0.039549686636064306,0.355671047291189,0.05636250115479317,6.31042,-0.4048652889446254,0.09825628439247701,-1.469103997814345,0.06442125063311835,-0.34077364,0.121734336,-0.40898722,0.43499115,-0.30984402,0.27689892,-0.5445473,0.35724667,0.24740517,-0.21813945,150,150,150,0,4.9623194,246.03508,0.0,0.0,31,False,285.34128,1.6211341200443452,0.010479014762381606,-0.14287788,17,10,0.062500186,0,17,False,142,1889237.6349273303,742.3665945545065,2544.885,9.997649,17,1048123.941749281,1417.687160217872,739.31964,10.300357,16,1226385.9316608238,1530.2837234682731,801.4108,9.540352,1.20393,0,0.760005,0.30270767,0.45729733,,,0,,,,b'NOT_AVAILABLE',173.60942278886918,-1.7154550427543769,82.08945235951052,10.188427173657518,100001.0,5953.0,5883.0,6154.11,,,,,,,200111.0,22.728323,21.267118,23.272415,584.4845,460.90048,708.0685,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173402856344704',b'',0.018358425055304373,0.018534373814112277,0.723999992609024
71,1635721458409799680,b'Gaia DR2 181173402857252736',181173402857252736,134310477,2015.5,80.66020085401898,0.09918028078395003,33.37080967082542,0.07847790472039651,0.3963026953079567,0.11880701754304676,3.3356843,-0.3157593406557813,0.1744953049512893,-1.5563188964698162,0.1196034574518283,-0.57084334,0.35240966,-0.20946,0.5329589,-0.56122917,0.15091231,-0.5571213,0.37697893,0.35045615,-0.32450563,133,0,133,0,-0.044182733,126.63132,0.0,0.0,31,False,4.608577,1.4260037922196727,0.017222371239188683,-0.21863538,15,9,0.17037982,0,15,False,133,4436.971673132348,6.75720470680828,656.6283,16.570648,13,1428.0283361049292,15.666557579762266,91.15138,17.464546,13,4723.814864656194,32.04482009519512,147.41275,15.576188,1.386496,0,1.8883581,0.893898,0.9944601,,,0,,,,b'NOT_AVAILABLE',173.6077502565525,-1.7195191353512456,82.0850348067551,10.187788831577846,100001.0,3901.5,3819.5,4354.73,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173402857252736',b'',0.01889210227799412,0.018899828365102875,0.7090000074356795
78,1635721458409799680,b'Gaia DR2 181173475874689664',181173475874689664,435575840,2015.5,80.65395175372159,0.1284906482811834,33.37114721591211,0.10072428728423567,0.49338423648179924,0.15406411189038238,3.2024605,0.01729433628933849,0.22746916575756035,-1.469907168988993,0.1550044873020461,-0.5636224,0.35962293,-0.18034653,0.5350543,-0.5354443,0.16807905,-0.5340786,0.38188463,0.3577468,-0.32331946,130,0,129,1,2.2563221,162.23586,0.20053240461333688,0.8528325956424305,31,False,2.6082866,1.529661692022827,0.022068042359332796,-0.22256418,15,9,0.21906279,0,15,False,128,3124.155510075108,3.522692607265103,886.8658,16.951534,12,1478.7787561807042,21.825889010534357,67.753426,17.42663,13,2717.246289324048,24.69190331561597,110.04604,16.176598,1.343091,0,1.2500324,0.47509575,0.7749367,,,0,,,,b'NOT_AVAILABLE',173.60451644493492,-1.7236302914704347,82.07976633674916,10.188468058181819,100001.0,4772.987,4623.447,4866.0,0.9635,0.6454,1.2468,0.4813,0.3576,0.6266,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173475874689664',b'',0.019411398840127304,0.019776356451619664,0.5320000088959932
82,1635721458409799680,b'Gaia DR2 181173540295297152',181173540295297152,19363156,2015.5,80.68339515984356,0.042702021876003256,33.38368681872912,0.02975329472277266,0.22135469120535708,0.041036505255220436,5.394092,-0.12110040604973918,0.07791455746533571,-1.5380018990003066,0.048451508524582784,-0.5344866,0.09236413,-0.5340135,0.6084542,-0.17626216,0.47099832,-0.65411127,0.4181302,0.18978503,-0.42652917,127,0,126,1,-0.32416388,115.37986,0.0,0.0,31,False,96.4345,1.671192866748292,0.008347023258897733,-0.15730555,15,9,0.09040539,0,15,False,125,78898.91971744798,30.620063650345156,2576.7065,13.445688,14,49070.45105631037,149.7741074310611,327.62973,13.624338,14,46920.858608207025,154.35367312511153,303.9828,13.083505,1.2166365,0,0.5408335,0.1786499,0.36218357,,,0,,,,b'NOT_AVAILABLE',173.60809521950043,-1.6962629129538707,82.10552905388653,10.199369480721337,100001.0,6986.9927,6715.767,7346.0,1.308,0.9975,1.5966,0.634,0.4979,0.789,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173540295297152',b'',0.01979313856706755,0.023381608100226055,0.9209999829530716
99,1635721458409799680,b'Gaia DR2 181173471576756736',181173471576756736,872963243,2015.5,80.64062723472841,0.12188503695241587,33.376496537095505,0.09517388588093141,-0.11356989351918423,0.14326253233248742,-0.7927397,-0.13450790061953,0.21464289272014708,-1.173667268159577,0.14697966853061428,-0.5646217,0.3591129,-0.19122401,0.5310167,-0.5382011,0.17359668,-0.529133,0.36779162,0.33664563,-0.33436742,132,0,132,0,0.94208777,141.89484,0.18797426701436265,0.7739909256167524,31,False,2.871274,1.3260920312560733,0.02100086674511705,-0.21603194,15,9,0.20810863,0,15,False,132,3248.754920734605,3.253849603433924,998.43427,16.909073,14,976.1707460514918,14.53362176990971,67.16638,17.877573,13,3788.2887461203595,11.927360695870899,317.61334,15.815812,1.4665494,0,2.061761,0.96850014,1.0932608,,,0,,,,b'NOT_AVAILABLE',173.59380255888078,-1.729774298807284,82.06884204304993,10.194536665112002,112001.0,3865.5,3571.0,4424.03,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173471576756736',b'',0.021405049453556233,0.024109580904126897,0.5370000065118075
