,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,PMemb
4,1635721458409799680,b'Gaia DR2 181173510234422912',181173510234422912,702702896,2015.5,80.65409329839042,0.04920543169707157,33.38697097152202,0.04191716886252288,0.2303031586348398,0.05120792947823609,4.497412,-0.5071406688738467,0.09372921889087985,-1.3594680636632046,0.07008025973226344,-0.2035152,0.086034544,-0.48802477,0.24910133,-0.28150296,0.114924215,-0.69532037,0.35573733,0.2217725,-0.06543012,132,96,132,0,0.8833218,140.88878,0.0,0.0,31,True,186.52261,1.6376876639650007,0.009514692004130843,-0.08764182,15,9,0.06649578,0,17,False,127,143119.6253632609,42.22018215342043,3389.839,12.799118,15,83571.83180651716,227.3096155843014,367.65637,13.046238,14,91460.61483068307,159.86247945459897,572.1206,12.358834,1.22298,0,0.6874037,0.2471199,0.44028378,,,0,,,,b'NOT_AVAILABLE',173.59153315264928,-1.7145754011831313,82.08094140868538,10.204249936643249,100001.0,6277.0,6071.0,6562.0,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173510234422912',b'',0.006233666077273755,0.8
28,1635721458409799680,b'Gaia DR2 181173441514942336',181173441514942336,1354923743,2015.5,80.6729355800811,0.044613401056393914,33.38441817452206,0.03236438473995265,0.27900857855797084,0.04156295254129625,6.7129154,-0.18640618750739688,0.08135725822276213,-1.6099729615675018,0.051405757223866616,-0.5397079,0.024442084,-0.56221443,0.58974683,-0.24007338,0.45972776,-0.6444379,0.36325997,0.18322843,-0.42272916,142,0,142,0,0.74765754,149.04604,0.0,0.0,31,False,44.469986,1.6371823571826023,0.0088292489265348,-0.18263638,16,10,0.09471726,0,16,False,139,36795.96166219442,15.469967299227251,2378.5417,14.273866,13,20710.212063492763,49.702210711036145,416.68594,14.560926,13,24650.671895358813,129.2427998733643,190.73149,13.782348,1.2327679,0,0.77857876,0.28706074,0.49151802,,,0,,,,b'NOT_AVAILABLE',173.60254750727725,-1.703049916054082,82.09672272981248,10.200671035660552,100001.0,5861.0,5652.967,6197.0,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173441514942336',b'',0.011418147964870628,0.9
38,1635721458409799680,b'Gaia DR2 181173544594154880',181173544594154880,954801338,2015.5,80.67708509663615,0.1698242384678352,33.38702400089286,0.12815843311729966,0.38603463735693944,0.16976788275774604,2.2738967,-0.6720835445299393,0.321368728270036,-0.6165243811710884,0.2153560078912171,-0.54152745,0.07686004,-0.43141413,0.58916867,-0.28912267,0.42920834,-0.55543214,0.35750517,0.18859972,-0.49166948,130,0,130,0,10.059962,359.71933,0.6379948526559479,10.57963667879858,31,False,1.4500747,1.4447233823431043,0.03126577349287106,-0.20233473,15,10,0.33129308,0,15,False,130,3772.4786084430034,6.8812071818042595,548.2292,16.7468,13,1307.148276393034,12.23554995977164,106.832,17.560575,14,3984.4617107607205,17.867135362973595,223.00507,15.760996,1.4026879,0,1.7995796,0.813776,0.9858036,,,0,,,,b'NOT_AVAILABLE',173.6023597538923,-1.6987186529320626,82.10040900909273,10.203044363676169,100001.0,4154.1997,3928.0,4604.59,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173544594154880',b'',0.013850202878525312,0.5
50,1635721458409799680,b'Gaia DR2 181173437217001728',181173437217001728,320558957,2015.5,80.67693382949484,0.16592595621778164,33.38138278811841,0.125594565152921,0.4075790159936661,0.16734670031639942,2.4355366,-0.11903082303532977,0.2974181062325626,-1.305793166245373,0.19935705686443045,-0.54156935,0.09099609,-0.43143415,0.5800888,-0.34812406,0.4160183,-0.5944334,0.30817866,0.250723,-0.42996827,142,0,142,0,0.09306081,137.87563,0.0,0.0,31,False,1.4425894,1.4589107295849915,0.03128330720109823,-0.18262233,16,10,0.30649856,0,16,False,142,1678.961317635385,2.7602879096120057,608.25586,17.625765,13,786.9764806390828,13.320181847460843,59.081512,18.111485,11,1491.2574143133731,14.60144203302859,102.13083,16.82804,1.3569305,0,1.2834454,0.48571968,0.7977257,,,0,,,,b'NOT_AVAILABLE',173.60694135996698,-1.7020151060288797,82.09990566095584,10.197423525536783,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173437217001728',b'',0.015823432671095903,0.5
69,1635721458409799680,b'Gaia DR2 181173402856344704',181173402856344704,1083987017,2015.5,80.66534582111424,0.05186337960706882,33.371731735668725,0.039549686636064306,0.355671047291189,0.05636250115479317,6.31042,-0.4048652889446254,0.09825628439247701,-1.469103997814345,0.06442125063311835,-0.34077364,0.121734336,-0.40898722,0.43499115,-0.30984402,0.27689892,-0.5445473,0.35724667,0.24740517,-0.21813945,150,150,150,0,4.9623194,246.03508,0.0,0.0,31,False,285.34128,1.6211341200443452,0.010479014762381606,-0.14287788,17,10,0.062500186,0,17,False,142,1889237.6349273303,742.3665945545065,2544.885,9.997649,17,1048123.941749281,1417.687160217872,739.31964,10.300357,16,1226385.9316608238,1530.2837234682731,801.4108,9.540352,1.20393,0,0.760005,0.30270767,0.45729733,,,0,,,,b'NOT_AVAILABLE',173.60942278886918,-1.7154550427543769,82.08945235951052,10.188427173657518,100001.0,5953.0,5883.0,6154.11,,,,,,,200111.0,22.728323,21.267118,23.272415,584.4845,460.90048,708.0685,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173402856344704',b'',0.018358425055304373,0.7
71,1635721458409799680,b'Gaia DR2 181173402857252736',181173402857252736,134310477,2015.5,80.66020085401898,0.09918028078395003,33.37080967082542,0.07847790472039651,0.3963026953079567,0.11880701754304676,3.3356843,-0.3157593406557813,0.1744953049512893,-1.5563188964698162,0.1196034574518283,-0.57084334,0.35240966,-0.20946,0.5329589,-0.56122917,0.15091231,-0.5571213,0.37697893,0.35045615,-0.32450563,133,0,133,0,-0.044182733,126.63132,0.0,0.0,31,False,4.608577,1.4260037922196727,0.017222371239188683,-0.21863538,15,9,0.17037982,0,15,False,133,4436.971673132348,6.75720470680828,656.6283,16.570648,13,1428.0283361049292,15.666557579762266,91.15138,17.464546,13,4723.814864656194,32.04482009519512,147.41275,15.576188,1.386496,0,1.8883581,0.893898,0.9944601,,,0,,,,b'NOT_AVAILABLE',173.6077502565525,-1.7195191353512456,82.0850348067551,10.187788831577846,100001.0,3901.5,3819.5,4354.73,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173402857252736',b'',0.01889210227799412,0.8
82,1635721458409799680,b'Gaia DR2 181173540295297152',181173540295297152,19363156,2015.5,80.68339515984356,0.042702021876003256,33.38368681872912,0.02975329472277266,0.22135469120535708,0.041036505255220436,5.394092,-0.12110040604973918,0.07791455746533571,-1.5380018990003066,0.048451508524582784,-0.5344866,0.09236413,-0.5340135,0.6084542,-0.17626216,0.47099832,-0.65411127,0.4181302,0.18978503,-0.42652917,127,0,126,1,-0.32416388,115.37986,0.0,0.0,31,False,96.4345,1.671192866748292,0.008347023258897733,-0.15730555,15,9,0.09040539,0,15,False,125,78898.91971744798,30.620063650345156,2576.7065,13.445688,14,49070.45105631037,149.7741074310611,327.62973,13.624338,14,46920.858608207025,154.35367312511153,303.9828,13.083505,1.2166365,0,0.5408335,0.1786499,0.36218357,,,0,,,,b'NOT_AVAILABLE',173.60809521950043,-1.6962629129538707,82.10552905388653,10.199369480721337,100001.0,6986.9927,6715.767,7346.0,1.308,0.9975,1.5966,0.634,0.4979,0.789,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173540295297152',b'',0.01979313856706755,0.9
124,1635721458409799680,b'Gaia DR2 181173574656025984',181173574656025984,1606421836,2015.5,80.6895500167293,0.09407709833638733,33.393045988832306,0.07474446423347096,0.2613625501281751,0.11161801069495646,2.3415804,-0.1825303101969265,0.19025034865862286,-1.5333000718547076,0.13574028099725588,-0.35737357,0.2087652,-0.03376846,0.2686995,-0.4857742,0.15732522,-0.3789775,0.13300852,0.39817563,-0.40172586,134,0,134,0,1.4115504,152.28127,0.0,0.0,31,False,3.3387706,1.454009469814264,0.02199583180286431,-0.2088595,15,11,0.18312153,0,15,False,134,3311.9468785536255,7.751177971863266,427.28305,16.888157,15,1195.4781133017088,14.362227273540599,83.237656,17.657534,14,3358.533932685114,28.725102468899333,116.91982,15.946546,1.3750257,0,1.710988,0.76937675,0.9416113,,,0,,,,b'NOT_AVAILABLE',173.6032839548711,-1.6867300291712457,82.11136153180729,10.208372465683938,100001.0,4092.0,3950.7234,4287.0,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173574656025984',b'',0.024229940917998585,0.5
133,1635721458409799680,b'Gaia DR2 181173544594151424',181173544594151424,708372502,2015.5,80.69107670613904,0.04927328305806441,33.38817534849721,0.039592269495931795,0.3368553998213394,0.05494120771099535,6.1311975,-0.2048776714569871,0.08977776181092174,-1.5175931738202708,0.06260673348842458,-0.27605417,0.191169,-0.3001986,0.43713972,-0.39957485,0.26174054,-0.44928923,0.28292173,0.2979394,-0.11255812,140,122,138,2,6.6825576,273.39178,0.0,0.0,31,True,237.86386,1.6830906821837386,0.012412189729926706,-0.105379336,16,11,0.058593355,0,16,False,126,184719.4284454172,69.70801605973266,2649.9023,12.522084,14,119277.44040385437,499.6313544519951,238.7309,12.659992,14,102943.37093455385,167.42001188272272,614.8809,12.230424,1.2030181,0,0.4295683,0.13790798,0.2916603,,,0,,,,b'NOT_AVAILABLE',173.60802331014148,-1.6884347187842272,82.11233036746498,10.203428904140441,100001.0,7757.0,7431.28,8459.333,1.1892,0.9895,1.4111,0.598,0.4663,0.706,200111.0,4.473893,3.7618454,4.874678,65.289154,50.335403,80.242905,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181173544594151424',b'',0.02531812886834687,1.0
135,1635721458409799680,b'Gaia DR2 181174369227870336',181174369227870336,273058079,2015.5,80.66232633008288,0.11154995355518686,33.41505901034382,0.08916055138154465,0.2587273703127495,0.13290349111856642,1.9467312,-0.11549420894401793,0.22092268342759827,-1.3285300236767834,0.15967695579434005,-0.35785216,0.20478627,-0.064258225,0.29811767,-0.477381,0.17390849,-0.4116412,0.15976116,0.4039656,-0.3808002,134,0,133,1,2.99781,181.36334,0.36400106584287284,3.202146145366827,31,False,2.32243,1.5391355081509224,0.025644431298978084,-0.20635979,15,11,0.21155564,0,15,False,132,3424.758542135891,4.15218093615258,824.8096,16.851791,14,1617.7957334251719,15.58943751516911,103.775116,17.329079,15,2832.9404145806666,13.655273733341161,207.46127,16.131327,1.2995766,0,1.197752,0.4772873,0.7204647,,,0,,,,b'NOT_AVAILABLE',173.57226027634576,-1.6930100568763755,82.08978290553635,10.231826509825888,100001.0,4866.7,4762.0,4931.68,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+181174369227870336',b'',0.025395681987376538,0.6
