,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_weight_al,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,matched_observations,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,Ecl_Lon,Ecl_Lat,ruwe,dist_869_center,dist_884_center,Cluster,PMemb
30260,4.5846814e+17,35.492504,0.032046497,57.467674,0.039106116,0.4113359,0.053627443,7.67025,-0.81271416,0.10080369,-1.1047639,0.096979804,0.4013923,-0.1621186,-0.2304247,-0.08701401,-0.2193593,-0.1558637,0.01052555,0.4286903,0.2119693,0.38993,264.0,263.0,0.9378358,279.192,8.855792,-0.001491514,30.0,12.0,0.1128394,31.0,271.0,8089.3057,4.3602586,1855.235,15.91859,28.0,3796.62,19.238176,197.3482,16.40289,28.0,6352.019,9.393644,676.2039,15.25464,1.254575,1.148254,0.4843073,0.6639471,134.8956,-3.28602,54.84917,40.490364,1.0840365,0.81637263,0.35791397,NGC_884,0.759
30277,4.58465e+17,35.66201,0.021417307,57.416645,0.025466057,0.4605818,0.036377173,12.66129,-0.4988408,0.0685325,-0.8363954,0.067287944,0.376534,-0.08196441,-0.2793843,-0.2349138,-0.2159099,-0.3010702,-0.3091546,0.5184237,0.3156163,0.4472554,257.0,254.0,-2.811498,190.8222,27.66984,-0.01481466,29.0,12.0,0.08568537,31.0,254.0,23229.3,7.091217,3275.785,14.77328,28.0,12327.449,20.041162,615.1065,15.1242,27.0,16197.199,22.795624,710.5398,14.23832,1.22796,0.8858843,0.3509293,0.534955,134.99898,-3.3025246,54.929157,40.4054,0.97811896,0.95649666,0.2990588,NGC_884,0.593
30282,4.5830466e+17,35.498177,0.033171263,56.783875,0.042392243,0.45657706,0.053548045,8.526493,-0.7355628,0.11194144,-1.1357375,0.122579224,0.3405395,0.007396664,0.08511817,-0.1037359,-0.1490516,-0.1461553,-0.1238207,0.1720272,0.12051,0.361445,248.0,246.0,-0.5616192,228.2355,7.797324,-0.01188082,28.0,13.0,0.1314169,29.0,256.0,7413.914,4.8278637,1535.651,16.01325,25.0,3695.5396,15.091846,244.8699,16.43219,24.0,5643.8296,12.546995,449.8152,15.38299,1.259708,1.049209,0.4189472,0.6302614,135.13365,-3.9272265,54.47343,39.869736,1.0091407,0.82366276,0.35482815,NGC_884,0.671
30289,4.585689e+17,34.677254,0.037427228,57.321457,0.051527996,0.42096487,0.06431088,6.54578,-0.65929395,0.11290494,-1.102212,0.119405515,0.2964993,-0.04228795,-0.1484117,0.0270251,-0.1569591,-0.02683128,-0.03292241,0.3718254,0.1010412,0.2282369,258.0,257.0,1.957891,297.8138,5.139224,0.0333341,30.0,12.0,0.1212908,33.0,273.0,4889.237,3.4084854,1434.431,16.46526,28.0,1899.2047,10.893413,174.3443,17.15496,29.0,4463.046,9.648282,462.5742,15.63784,1.301277,1.517118,0.6896954,0.8274221,134.53069,-3.5718153,54.2446,40.54633,1.0849092,0.20637038,0.93935263,NGC_869,0.93
30403,4.5839007e+17,35.82978,0.01356123,56.93598,0.017407214,0.37299922,0.02086573,17.87617,-0.56718427,0.04369678,-1.0977817,0.04924059,0.4028496,-0.005224063,-0.08182409,-0.1781282,-0.2338868,-0.2309582,-0.1903762,0.1894021,0.08893987,0.4725177,270.0,269.0,-2.726334,205.6134,126.2985,0.02764373,31.0,13.0,0.06700754,34.0,288.0,102516.07,110.933975,924.1179,13.16139,31.0,61601.086,284.0459,216.8702,13.37742,31.0,62299.6,210.68283,295.7033,12.77571,1.208598,0.6017103,0.216032,0.3856783,135.25143,-3.7218232,54.77127,39.93132,0.87838286,1.0967792,0.30076504,NGC_884,0.929
30428,4.5837234e+17,34.57211,0.065983266,57.126404,0.08967193,0.33721867,0.11858838,2.843606,-0.6788391,0.19502251,-0.7494978,0.20262857,0.2133974,0.02268545,-0.1034799,-0.02466147,-0.2607437,-0.1425923,0.009844535,0.3600919,0.2395933,0.2199252,262.0,261.0,1.010587,278.8482,1.517334,-0.02015317,30.0,13.0,0.2000447,33.0,279.0,1765.7383,5.1030025,346.0195,17.57105,27.0,667.59204,11.367573,58.72775,18.29011,26.0,1718.1111,13.69823,125.4258,16.67429,1.351108,1.615818,0.719059,0.896759,134.54149,-3.774719,54.06673,40.394745,1.0058076,0.17790046,1.0237243,NGC_869,0.682
30554,4.5837317e+17,34.580765,0.016542226,57.1898,0.023334721,0.37441918,0.029546129,12.67236,-0.67614883,0.05127768,-1.0033839,0.057048883,0.1893743,0.03492832,-0.01255552,-0.05682476,-0.2463535,-0.1397249,-0.03532405,0.2563672,0.2194306,0.2473241,220.0,220.0,-2.635131,164.2974,62.8279,-0.01753042,26.0,13.0,0.06569067,29.0,236.0,52333.46,13.347405,3920.872,13.89142,24.0,31457.959,73.58082,427.5294,14.10706,22.0,31753.25,55.334076,573.8463,13.50745,1.207855,0.5996122,0.2156439,0.3839684,134.52496,-3.7133257,54.108124,40.449955,0.94474715,0.18005176,1.0171345,NGC_869,0.986
30618,4.583902e+17,35.858997,0.021830652,56.962227,0.029169133,0.34293738,0.03412073,10.0507,-0.6708197,0.06848655,-1.2037927,0.07733711,0.3883356,0.02424338,-0.08161632,-0.138715,-0.2874775,-0.198797,-0.2067894,0.1798745,0.1123853,0.4693004,243.0,242.0,-1.904707,197.3126,22.4576,0.06252134,28.0,13.0,0.09231319,30.0,252.0,18980.625,6.6654043,2847.633,14.99259,27.0,10642.348,17.181677,619.401,15.28379,28.0,12417.69,21.65603,573.4056,14.52682,1.214925,0.7569761,0.2912054,0.4657707,135.25725,-3.6916747,54.80452,39.94843,0.9754313,1.1213678,0.30943525,NGC_884,0.924
30634,4.5835293e+17,34.805542,0.014431481,56.846306,0.020593453,0.30524603,0.025559684,11.94248,-0.6658696,0.0486127,-0.8493096,0.060348094,0.2940844,-0.08057553,0.07352211,-0.1629072,-0.09638763,-0.1924279,0.04986027,0.06452684,0.2736487,0.2686277,256.0,255.0,-4.019584,169.9445,98.8045,0.01714468,29.0,12.0,0.07047449,31.0,273.0,81416.87,20.615276,3949.346,13.41158,29.0,40525.816,57.222836,708.2106,13.83206,29.0,59821.812,60.969616,981.1742,12.81977,1.232517,1.012288,0.4204788,0.5918093,134.75488,-3.9967732,54.060047,40.087166,1.0875962,0.28744447,0.8379921,NGC_869,0.626
30661,4.5836523e+17,34.6918,0.017737238,56.914898,0.022707732,0.3873158,0.029691514,13.04466,-0.69024694,0.07178969,-1.0033283,0.06579348,0.2375387,-0.2217004,0.3765728,-0.2107423,0.01870839,-0.208813,-0.05049502,-0.2388378,0.251593,0.08032285,222.0,222.0,-0.8919005,198.3161,98.19962,-0.01194832,25.0,11.0,0.07813609,27.0,239.0,81017.11,20.993488,3859.154,13.41692,24.0,51108.414,88.25919,579.0719,13.58016,21.0,46369.76,79.38338,584.1243,13.09633,1.20318,0.4838247,0.1632338,0.320591,134.67326,-3.952755,54.024914,40.175743,0.97348666,0.22122812,0.9281267,NGC_869,0.968
30729,4.5856685e+17,34.59953,0.018865623,57.23687,0.026679987,0.3361022,0.03598726,9.339477,-0.8449573,0.057915404,-1.1163319,0.07049262,0.2776158,-0.09089315,-0.1807031,-0.06879018,0.01823186,-0.08372709,0.1062685,0.4029751,0.2744169,0.2012805,227.0,226.0,-0.7903972,204.1628,40.76878,-0.02980611,26.0,11.0,0.07533804,28.0,240.0,35018.086,10.9250145,3205.313,14.32763,26.0,20887.695,31.918114,654.4151,14.55166,27.0,21406.354,36.015587,594.3636,13.93556,1.207777,0.6160984,0.2240267,0.3920717,134.51901,-3.6655393,54.146812,40.48807,1.0217458,0.18553013,1.0025643,NGC_869,0.974
30799,4.5837135e+17,34.57541,0.041572772,57.071846,0.060003802,0.6384285,0.08320202,7.673233,-0.19347648,0.14385809,-0.88962585,0.14205852,0.1303247,-0.07972257,0.1682642,-0.0878591,-0.2130021,-0.1564452,0.188362,0.1236557,0.3703155,0.07116112,246.0,246.0,13.9197,692.6231,4.231037,-0.03772868,28.0,12.0,0.1367596,30.0,264.0,13217.53,7.1148133,1857.748,15.38549,29.0,6493.365,16.851671,385.3247,15.82021,29.0,10050.106,17.138943,586.3901,14.75649,1.251631,1.06372,0.4347239,0.6289959,134.56123,-3.8256292,54.03807,40.344715,1.8311769,0.18350065,1.0218068,NGC_869,0.53
30882,4.5830582e+17,35.67189,0.035070796,56.834133,0.04411029,0.387369,0.05471562,7.079679,-0.6249459,0.13224444,-1.0454404,0.12358274,0.3405841,-0.1189371,0.2328786,-0.1012673,-0.09810186,-0.1251952,-0.0778427,-0.1001091,0.1063277,0.2920986,223.0,221.0,-0.2194456,210.8143,8.560485,0.007812025,26.0,12.0,0.1388157,29.0,238.0,7939.864,4.430485,1792.098,15.93883,27.0,3845.9243,12.319156,312.1906,16.38889,27.0,6056.823,13.808482,438.6306,15.30631,1.247219,1.082578,0.4500523,0.6325254,135.20576,-3.8472757,54.613396,39.875225,1.0284467,0.9676957,0.30064636,NGC_884,0.88
31015,4.5841667e+17,35.834164,0.021833539,57.320297,0.03166329,0.40636978,0.037136935,10.94247,-0.9041371,0.07064329,-1.041312,0.09861083,0.4247307,-0.09531635,-0.1228204,0.01231442,-0.3213825,0.0008765549,0.1538844,0.1487196,-0.1037889,0.5552691,236.0,235.0,-3.405128,163.8929,24.74555,0.1019603,27.0,12.0,0.1105784,30.0,240.0,20418.838,8.328677,2451.63,14.91329,22.0,9912.568,20.383835,486.2956,15.36092,24.0,15610.132,15.152062,1030.231,14.2784,1.249959,1.08252,0.4476347,0.6348848,135.11966,-3.3607054,54.985947,40.2788,0.95730907,1.1010275,0.30812728,NGC_884,0.877
31017,4.5837214e+17,34.567543,0.020444958,57.09624,0.029520268,0.36402288,0.036718544,9.913871,-0.74613243,0.062261377,-1.0369104,0.07658795,0.2453396,-0.02339058,-0.00452651,-0.09985842,-0.08199733,-0.167165,0.1743606,0.2141664,0.3158619,0.1881333,281.0,281.0,-1.295341,246.0532,18.11557,0.005835662,32.0,12.0,0.08091333,33.0,290.0,15850.176,5.656252,2802.24,15.18828,27.0,8551.675,20.316349,420.9258,15.52126,32.0,10949.422,19.75964,554.1307,14.66344,1.230339,0.8578186,0.3329802,0.5248384,134.54912,-3.804011,54.046764,40.36858,1.0144597,0.18525803,1.0286925,NGC_869,0.985
