,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_weight_al,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,matched_observations,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,Ecl_Lon,Ecl_Lat,ruwe,dist_869_center,dist_884_center,Cluster,PMemb
2,4.5845385e+17,35.25467,0.024346823,57.12453,0.031805616,0.4010203,0.0408291,9.821923,-0.5763869,0.074206255,-0.97638804,0.078844644,0.2783859,0.03416689,-0.1146766,-0.08629025,-0.232977,-0.1677478,-0.243002,0.3526794,0.2140545,0.3002129,304.0,302.0,-0.1355042,293.0485,11.42991,-0.02295037,35.0,13.0,0.08853154,36.0,309.0,10170.1455,5.1892066,1959.865,15.67005,31.0,4607.8706,12.640005,364.5466,16.19264,30.0,8308.719,12.471944,666.1927,14.96309,1.27005,1.229553,0.5225906,0.7069626,134.89197,-3.6524153,54.504868,40.234562,1.0506645,0.5046843,0.34116367,NGC_884,0.767
10,4.584538e+17,35.254845,0.01652805,57.121338,0.021856084,0.38416988,0.027902586,13.76825,-0.60562223,0.04964475,-0.96300185,0.05580994,0.2680387,0.09922913,-0.08029439,-0.1137541,-0.2077146,-0.2056606,-0.2992068,0.3857385,0.2161546,0.3266711,288.0,286.0,-0.5668067,267.131,36.3322,-0.02543617,33.0,13.0,0.0675577,34.0,292.0,30389.309,8.834887,3439.694,14.48156,32.0,17614.486,43.59507,404.0476,14.73671,32.0,19693.059,34.383877,572.7411,14.02614,1.227654,0.7105761,0.2551498,0.4554262,134.89314,-3.6553876,54.5032,40.231632,1.0598146,0.5048935,0.341008,NGC_884,0.787
24,4.5845677e+17,35.240765,0.020622706,57.13248,0.027616965,0.48426878,0.035596665,13.60433,-0.53915805,0.061654553,-1.033756,0.07140311,0.2825543,0.01925794,-0.1438217,-0.06174359,-0.3413329,-0.1675567,-0.137647,0.3320366,0.1007117,0.3599684,277.0,270.0,-2.445552,212.0171,21.79176,-0.03241538,31.0,13.0,0.08084451,33.0,277.0,18299.295,8.676045,2109.175,15.03228,27.0,9575.91,16.547396,578.6959,15.39844,25.0,12964.403,26.045515,497.7595,14.48004,1.231759,0.9183998,0.3661585,0.5522413,134.88214,-3.6475015,54.500355,40.24497,0.9837059,0.49078253,0.35514712,NGC_869,0.759
29,4.584568e+17,35.24503,0.018349972,57.135212,0.025875708,0.4053814,0.031583518,12.83522,-0.720156,0.053957023,-1.0950148,0.06999392,0.2190774,0.02338559,-0.1707539,-0.1254506,-0.3615296,-0.2190091,-0.1942894,0.2926461,0.1577825,0.344488,236.0,234.0,-1.831358,191.4085,36.42627,-0.003073025,27.0,13.0,0.07890443,28.0,241.0,30492.984,8.094917,3766.93,14.47787,25.0,16828.13,31.790741,529.3406,14.7863,25.0,20498.78,36.137417,567.2453,13.9826,1.224115,0.8036985,0.3084326,0.495266,134.88339,-3.6441455,54.50462,40.246456,1.0247383,0.4950778,0.35095194,NGC_869,0.846
63,4.584568e+17,35.23943,0.014607068,57.140724,0.020060461,0.36286846,0.023622336,15.36124,-0.8045744,0.043446284,-0.8478814,0.055852827,0.3053035,0.004718237,-0.192087,-0.1233082,-0.2857069,-0.1971324,-0.240586,0.2836335,0.1018359,0.4059293,249.0,249.0,0.1065729,245.6915,83.07141,0.03888382,29.0,13.0,0.06912563,30.0,254.0,67023.984,19.436129,3448.423,13.62279,23.0,40193.81,73.78908,544.7122,13.84099,22.0,40898.074,112.87879,362.3185,13.23266,1.209893,0.6083269,0.2181997,0.3901272,134.87866,-3.6399925,54.504093,40.25274,1.0990942,0.48958683,0.35675,NGC_869,0.764
87,4.5845378e+17,35.28355,0.04041228,57.115402,0.0517845,0.35903153,0.072152175,4.976032,-0.7888773,0.1214784,-1.1118635,0.12716462,0.1347636,0.07992508,-0.01684449,-0.08726342,-0.2693523,-0.2228525,-0.1073603,0.3641744,0.3178649,0.19123,264.0,263.0,0.343575,265.2039,4.343035,-0.08636463,31.0,13.0,0.1286115,34.0,269.0,4369.0483,3.0487647,1433.055,16.5874,28.0,2000.5111,19.070534,104.9006,17.09854,27.0,3627.4087,11.471774,316.2029,15.86293,1.288134,1.235607,0.511137,0.7244701,134.90985,-3.6556678,54.51837,40.219635,1.0210063,0.53370667,0.3124308,NGC_884,0.535
95,4.5836293e+17,35.227886,0.014458584,57.10692,0.019067273,0.33802405,0.026010677,12.99559,-0.6521799,0.04707097,-1.1604916,0.0540264,0.3731448,-0.1646058,-0.2653195,-0.1437011,-0.26079,-0.2269673,-0.1768907,0.4428234,0.08334566,0.3945902,273.0,273.0,-5.994481,151.3393,95.29965,-0.01860616,31.0,12.0,0.06713599,34.0,282.0,77299.84,14.969143,5163.946,13.46792,32.0,45865.777,67.96329,674.8611,13.69767,32.0,47877.203,46.748558,1024.143,13.0616,1.212719,0.6360683,0.2297468,0.4063215,134.88425,-3.6739202,54.477814,40.22481,0.8360757,0.4783655,0.36839128,NGC_869,0.826
104,4.5845388e+17,35.29218,0.01449199,57.126835,0.019542184,0.35737807,0.02411321,14.82084,-0.73361635,0.043464433,-1.02431,0.049411505,0.2778112,0.04782876,-0.1343022,-0.142523,-0.2178824,-0.222764,-0.3107051,0.3591972,0.2116791,0.3227692,293.0,292.0,-3.936409,202.1152,52.92073,-0.01638461,34.0,13.0,0.06196627,36.0,308.0,43649.863,12.576469,3470.756,14.08841,35.0,25446.656,37.72542,674.5228,14.33731,34.0,27496.664,43.141808,637.3553,13.66372,1.212909,0.6735916,0.2489033,0.4246883,134.91035,-3.6433241,54.53029,40.22799,0.9264403,0.5421821,0.30365887,NGC_884,0.787
108,4.5845378e+17,35.287228,0.03500658,57.112537,0.045229122,0.4249389,0.062359437,6.814348,-0.7529689,0.105374776,-0.78913003,0.1099878,0.1517975,0.1040703,-0.02477304,-0.069212,-0.2957816,-0.2156627,-0.1685468,0.3893134,0.2851377,0.2433937,273.0,272.0,-1.679634,229.4336,5.73634,-0.07112469,31.0,13.0,0.1153005,34.0,281.0,5556.438,3.6278787,1531.594,16.32637,29.0,2483.541,10.1680975,244.2484,16.86371,31.0,4597.856,12.68254,362.5343,15.60553,1.274449,1.258179,0.5373363,0.7208424,134.9127,-3.6576836,54.519142,40.21619,0.9430972,0.5374602,0.30885687,NGC_884,0.511
127,4.5845687e+17,35.240166,0.019757386,57.14959,0.027288381,0.4518132,0.03429708,13.17352,-0.16431716,0.06006881,-0.86690503,0.07384381,0.2712459,0.0005002228,-0.1570275,-0.0981293,-0.3235608,-0.1915271,-0.1652293,0.3242489,0.08362259,0.374526,260.0,258.0,-3.540697,180.8858,23.9541,-8.135301e-05,30.0,13.0,0.08320101,31.0,264.0,19775.168,6.5767627,3006.824,14.94807,30.0,10933.682,23.491129,465.4388,15.25447,27.0,13274.825,21.560154,615.7111,14.45435,1.224187,0.8001242,0.306406,0.4937181,134.87602,-3.6315205,54.50951,40.26059,0.9161975,0.4906267,0.35651636,NGC_869,0.451
175,4.5845684e+17,35.21285,0.020881051,57.1468,0.026845936,0.38499194,0.033572413,11.46751,-0.7846222,0.062435653,-1.3239185,0.07465261,0.3600724,-0.05073544,-0.2085963,-0.1217566,-0.2697311,-0.1947873,-0.1588511,0.3308613,0.06875203,0.3958175,274.0,272.0,-1.78776,227.1826,21.29181,-0.0009966233,32.0,13.0,0.08571196,33.0,280.0,18008.25,6.3464193,2837.545,15.04969,29.0,9634.334,27.318193,352.671,15.39183,27.0,12513.845,25.695854,486.9986,14.51844,1.229891,0.8733912,0.3421469,0.5312443,134.86299,-3.6391723,54.490383,40.264374,1.0044252,0.46321824,0.38360327,NGC_869,0.768
177,4.5836296e+17,35.19542,0.018558696,57.119785,0.024690816,0.35544083,0.03093103,11.4914,-0.55812675,0.056208204,-1.046556,0.06909336,0.3072284,0.04169809,-0.09910668,-0.08704597,-0.2527922,-0.1671017,-0.1713398,0.3238597,0.08403608,0.3862076,264.0,264.0,-3.0584,194.8896,28.43875,0.01139167,30.0,13.0,0.07988996,31.0,270.0,23513.107,6.518357,3607.214,14.76009,29.0,13271.709,26.95223,492.416,15.04407,30.0,15321.013,18.842281,813.1187,14.2987,1.216033,0.7453699,0.2839804,0.4613895,134.86327,-3.6677945,54.464096,40.243958,0.9375814,0.445502,0.40044728,NGC_869,0.853
191,4.5835997e+17,35.243965,0.0176908,57.094093,0.023000576,0.41130692,0.030416863,13.52233,-0.70710856,0.05570283,-1.1342736,0.059734896,0.2772931,-0.07549719,-0.1836717,-0.1673209,-0.2165405,-0.2294088,-0.2596186,0.3952117,0.2476556,0.2863761,284.0,284.0,-2.259505,228.3733,30.14929,-0.0515916,33.0,13.0,0.07116411,35.0,291.0,25241.191,7.785179,3242.211,14.68309,31.0,13500.721,16.61796,812.4175,15.0255,33.0,17487.467,36.931274,473.5138,14.1551,1.227683,0.8703928,0.3424044,0.5279884,134.89684,-3.6830165,54.481018,40.20949,1.0148408,0.4951503,0.35322312,NGC_869,0.822
221,4.583629e+17,35.20259,0.024600774,57.10433,0.03331361,0.47532296,0.041305795,11.50742,-0.76035297,0.08272079,-0.9784391,0.09088425,0.2888556,-0.04609885,0.01213737,-0.0463088,-0.2812025,-0.1046771,-0.1305719,0.179983,0.06636856,0.3569443,272.0,269.0,5.101744,398.5591,12.39117,0.0137256,31.0,13.0,0.1011636,32.0,274.0,16915.734,6.58562,2568.587,15.11764,30.0,7997.1035,15.735765,508.2119,15.59406,29.0,13229.58,16.759848,789.3616,14.45805,1.254848,1.136002,0.4764175,0.659584,134.87218,-3.6810143,54.46009,40.228317,1.3693645,0.45322606,0.3937862,NGC_869,0.605
241,4.5845708e+17,35.2153,0.03703927,57.15302,0.050311588,0.41126183,0.062428836,6.58769,-0.61386114,0.110156454,-1.1882894,0.12928273,0.2320771,-0.0254845,-0.1710724,-0.05273188,-0.3314794,-0.1424302,-0.125578,0.3117613,0.1457412,0.3177628,256.0,256.0,-1.515494,217.9456,5.274927,0.03121086,30.0,13.0,0.1316131,33.0,264.0,4905.7026,3.0241816,1622.159,16.46161,28.0,2170.2349,12.742001,170.3214,17.01012,24.0,4107.974,13.603067,301.9888,15.72785,1.279778,1.282269,0.5485077,0.7337618,134.86214,-3.6328692,54.495434,40.269436,0.941995,0.46595442,0.38156354,NGC_869,0.545
269,4.5845357e+17,35.303352,0.038825948,57.104195,0.05185524,0.46707395,0.070718184,6.604722,-0.8584931,0.11706695,-1.1939987,0.1227764,0.1999061,0.02002981,-0.1286992,-0.07122624,-0.2310238,-0.1782672,-0.102142,0.3838159,0.3052608,0.2485564,259.0,259.0,0.9718964,275.8362,4.67319,-0.04464122,30.0,13.0,0.1269769,35.0,267.0,4586.9717,3.0514262,1503.222,16.53455,27.0,1972.1189,12.442256,158.5017,17.11406,26.0,3911.8347,12.436398,314.5472,15.78097,1.282753,1.333087,0.5795059,0.753581,134.9238,-3.662548,54.524876,40.204918,1.0480351,0.55387825,0.29322034,NGC_884,0.59
273,4.5845367e+17,35.316544,0.022030992,57.12173,0.028538574,0.3755623,0.03632951,10.33766,-0.73394096,0.06412833,-1.1159136,0.0714093,0.3408868,0.1295607,-0.1056492,-0.1620218,-0.09875464,-0.214645,-0.3111609,0.4049031,0.2098291,0.345264,279.0,278.0,3.407391,359.8083,315.0816,-0.02231807,32.0,13.0,0.05328117,34.0,291.0,234781.83,54.633488,4297.398,12.2617,32.0,144507.38,303.70288,475.8182,12.45166,32.0,138387.27,151.51738,913.3425,11.90918,1.204926,0.5424833,0.1899586,0.3525248,134.92456,-3.6436198,54.543125,40.217747,0.88323134,0.5665825,0.27930847,NGC_884,0.799
284,4.5845708e+17,35.220043,0.0393636,57.15862,0.05192884,0.42958108,0.066624515,6.447793,-0.69342005,0.12097654,-1.0364431,0.13487,0.275447,-0.03716906,-0.1317502,-0.08498736,-0.3414648,-0.1776353,-0.1007376,0.3091027,0.0850224,0.3479813,256.0,253.0,-0.2277723,242.3048,5.205916,-0.02148977,30.0,13.0,0.1363849,33.0,248.0,4718.3105,4.2733183,1104.133,16.5039,28.0,1965.8693,11.741277,167.4323,17.1175,28.0,4138.4707,18.412497,224.7643,15.71982,1.293756,1.397682,0.6136036,0.7840786,134.86266,-3.62673,54.50161,40.273407,0.9923595,0.47101772,0.37729123,NGC_869,0.618
287,4.5836296e+17,35.182667,0.04063044,57.116367,0.05319559,0.5562076,0.06940197,8.014291,-0.5290325,0.12604293,-0.9452898,0.13883476,0.2780775,0.03013507,-0.04738829,-0.02795627,-0.2915768,-0.1278409,-0.1086536,0.3407446,0.1203358,0.3514174,271.0,268.0,-0.9441637,241.3047,4.300781,0.006749923,31.0,13.0,0.1441911,35.0,272.0,4162.914,3.0026016,1386.436,16.63987,30.0,1725.1852,11.02668,156.4555,17.2593,30.0,3678.6626,17.010674,216.2561,15.8477,1.298093,1.411603,0.6194267,0.7921762,134.8579,-3.6733553,54.453983,40.243816,0.9559314,0.43283245,0.41325653,NGC_869,0.626
301,4.5835994e+17,35.22303,0.046489693,57.08941,0.062886626,0.47718132,0.080169074,5.952187,-0.87363946,0.14217596,-0.97575414,0.15800394,0.2725624,-0.02359788,-0.1105743,-0.03286879,-0.3122317,-0.1245086,-0.07642936,0.3198637,0.1278591,0.3215617,278.0,276.0,1.803322,314.4515,3.037928,0.01990296,32.0,13.0,0.159891,32.0,275.0,3160.552,3.6605194,863.4163,16.93896,27.0,1250.4155,9.570961,130.6468,17.60875,27.0,2887.6152,8.783211,328.7654,16.11057,1.309275,1.49818,0.6697922,0.8283882,134.88771,-3.6912832,54.464935,40.21009,1.0586594,0.47462872,0.37449828,NGC_869,0.549
330,4.5845357e+17,35.30291,0.039921626,57.09712,0.051210262,0.27157527,0.065719806,4.13232,-0.69563866,0.1280673,-1.3305393,0.12708806,0.3041609,0.01669749,-0.06378531,-0.07861493,-0.1863379,-0.1300217,-0.2280166,0.2976304,0.2151718,0.3025484,271.0,271.0,1.770112,308.2163,4.409091,-0.003117816,31.0,13.0,0.137171,35.0,279.0,4551.5703,3.0312476,1501.55,16.54296,27.0,2012.8433,11.463009,175.5947,17.09186,23.0,3784.9822,12.577465,300.9337,15.81676,1.273808,1.275104,0.5489006,0.726203,134.926,-3.669285,54.52065,40.198612,1.0847704,0.55379033,0.29424712,NGC_884,0.585
332,4.5845694e+17,35.286327,0.02276067,57.160107,0.028897049,0.34523642,0.036097325,9.564045,-0.68734,0.06643638,-1.0027035,0.07208544,0.2578523,-0.009612354,-0.1790143,-0.1451941,-0.228166,-0.220771,-0.2233509,0.3523141,0.2309908,0.296134,271.0,271.0,-0.1616412,261.6292,15.56609,-0.01477343,31.0,13.0,0.08230457,33.0,286.0,13289.399,5.54464,2396.801,15.3796,30.0,6978.2266,14.725302,473.8936,15.74203,29.0,9432.79,15.020681,627.9869,14.82532,1.234895,0.9167061,0.3624229,0.5542831,134.89603,-3.613117,54.545067,40.259453,1.0588359,0.5372674,0.31149104,NGC_884,0.779
347,4.5845697e+17,35.23042,0.04904152,57.164467,0.06028192,0.43346152,0.08029721,5.398214,-0.5736191,0.14799497,-0.9664213,0.15559213,0.3405528,-0.1703653,-0.2912235,-0.09910218,-0.3072917,-0.1961688,-0.09058785,0.4287663,0.1188426,0.3494087,261.0,259.0,-2.201394,206.9616,3.374123,-0.003472833,30.0,13.0,0.1635743,32.0,267.0,3288.4143,2.3132138,1421.578,16.8959,15.0,1431.5487,10.005178,143.0808,17.46187,16.0,2854.2935,12.010809,237.6437,16.12317,1.303316,1.338699,0.5659733,0.7727261,134.86597,-3.6193202,54.511543,40.276302,0.89424783,0.48177695,0.36753848,NGC_869,0.549
349,4.5836317e+17,35.174915,0.028012995,57.12083,0.03780477,0.4238146,0.048246313,8.784393,-0.8362236,0.08589465,-1.0275146,0.10230166,0.2705316,0.04413812,-0.05746257,-0.0476393,-0.2666649,-0.137251,-0.1249614,0.3308913,0.1058986,0.3480391,273.0,271.0,-1.214639,238.3361,9.168362,0.01380416,31.0,13.0,0.108088,32.0,280.0,8140.71,4.1627693,1955.599,15.91171,28.0,3498.8848,15.818691,221.1868,16.49156,24.0,6917.1035,15.276079,452.8062,15.16211,1.279494,1.329454,0.579854,0.7496004,134.8524,-3.6705801,54.451485,40.24965,0.9815466,0.42498124,0.420939,NGC_869,0.592
360,4.5845694e+17,35.28665,0.03575825,57.161335,0.046022527,0.4326689,0.057305437,7.550224,-0.7672244,0.1027236,-1.1286204,0.10871994,0.2704099,0.01498395,-0.1612944,-0.1065143,-0.2138212,-0.1887802,-0.1667258,0.3553588,0.2283619,0.2826746,266.0,266.0,-1.760281,222.2133,5.630361,0.007652867,31.0,13.0,0.115443,36.0,276.0,5251.4893,3.8249416,1372.959,16.38766,30.0,2358.5432,11.456159,205.8756,16.91978,27.0,4322.1353,11.557889,373.9554,15.67267,1.272149,1.247105,0.5321198,0.7149849,134.89577,-3.611902,54.54596,40.260487,0.93612236,0.53766376,0.31131104,NGC_884,0.707
398,4.584543e+17,35.32093,0.023054961,57.14518,0.030561686,0.42512855,0.03702652,11.48173,-0.6299468,0.067726776,-1.0566348,0.07835883,0.3349861,0.06364288,-0.1697885,-0.1921559,-0.1049298,-0.2276787,-0.3561126,0.3715773,0.1820257,0.3342858,287.0,271.0,12.58996,673.6387,280.6432,-0.01959521,34.0,13.0,0.0572214,37.0,291.0,2147656.0,768.15344,2795.869,9.858454,32.0,1329911.1,1149.783,1156.663,10.04183,31.0,1214472.5,1494.5474,812.6022,9.550951,1.184726,0.490881,0.1833782,0.3075027,134.91881,-3.6207643,54.559006,40.237957,0.9760241,0.5711785,0.27564302,NGC_884,0.708
465,4.5845708e+17,35.202488,0.024420103,57.163876,0.034857597,0.42534044,0.041811522,10.1728,-0.77017146,0.072412066,-1.0300493,0.090306334,0.213021,0.03815507,-0.1502667,-0.04839205,-0.3549405,-0.1497819,-0.2085048,0.2881178,0.1363822,0.3558696,251.0,250.0,-3.096486,182.1022,13.65609,0.04567271,29.0,13.0,0.09710966,30.0,249.0,11574.877,6.070012,1906.895,15.52957,25.0,5881.9336,15.925366,369.3437,15.92759,22.0,8375.26,15.360969,545.2299,14.95442,1.231736,0.9731636,0.3980131,0.5751505,134.8519,-3.625012,54.493256,40.28222,0.91585195,0.45388177,0.3952618,NGC_869,0.665
470,4.58457e+17,35.261894,0.019004852,57.17166,0.027925927,0.37420106,0.033768628,11.08132,-0.75826126,0.06178483,-1.0255677,0.09888004,0.3428842,-0.05120441,-0.09658154,-0.01414598,-0.3578411,-0.03776231,0.0670725,0.08501595,-0.2122646,0.5296544,262.0,261.0,-3.288971,188.0145,27.23756,0.051421,30.0,12.0,0.1094799,33.0,275.0,22536.566,7.607589,2962.38,14.80615,31.0,12621.282,23.026297,548.1247,15.09863,32.0,14925.513,21.372227,698.3602,14.3271,1.222316,0.771533,0.2924833,0.4790497,134.87961,-3.6067572,54.535797,40.275543,0.9297475,0.5137243,0.3371834,NGC_884,0.739
471,4.5845436e+17,35.31237,0.031581018,57.157825,0.038033005,0.43704385,0.04819343,9.068536,-0.65641147,0.09052845,-1.1356514,0.09412529,0.2985995,-0.04696759,-0.2506717,-0.1425603,-0.2608441,-0.224716,-0.2320842,0.3788243,0.232549,0.3186894,271.0,269.0,-0.0592666,261.9767,8.062363,-0.02401429,31.0,13.0,0.1049451,34.0,286.0,7267.2905,5.3739038,1352.33,16.03493,28.0,3494.6792,9.088275,384.5261,16.49287,33.0,5652.35,14.694279,384.6633,15.38135,1.258657,1.111523,0.4579353,0.6535873,134.91011,-3.6104548,54.560543,40.251377,1.0331748,0.5631428,0.28535756,NGC_884,0.749
489,4.5835987e+17,35.237988,0.02203911,57.077446,0.029293993,0.37461048,0.037126534,10.0901,-0.69646055,0.06711406,-1.1215411,0.0734523,0.2623238,0.00736671,-0.1351277,-0.1053363,-0.2313301,-0.1837625,-0.2477063,0.3609754,0.2061606,0.2909091,301.0,298.0,-1.008444,268.6302,14.27568,-0.01607931,34.0,13.0,0.08282775,35.0,301.0,12520.581,5.466684,2290.343,15.4443,32.0,6501.1025,11.941073,544.432,15.81892,31.0,8859.535,11.507997,769.8591,14.89339,1.226831,0.9255285,0.3746166,0.5509119,134.89944,-3.6997783,54.4679,40.195805,1.018262,0.49063408,0.3609912,NGC_869,0.771
502,4.584536e+17,35.334145,0.014006211,57.107338,0.020355128,0.43238336,0.024763508,17.4605,-0.7562566,0.04204647,-0.87697494,0.05171273,0.3123404,0.09943786,-0.08256874,-0.05944695,-0.1711078,-0.1258608,-0.1668168,0.3230817,0.1544565,0.3742428,267.0,265.0,-5.320542,156.0917,80.5508,0.04949214,31.0,13.0,0.06320787,33.0,278.0,65574.24,16.491749,3976.185,13.64653,30.0,39197.293,77.090675,508.457,13.86825,30.0,40028.67,43.156235,927.5293,13.25599,1.208187,0.6122561,0.221715,0.3905411,134.93848,-3.6538975,54.54644,40.200653,0.8490214,0.5845222,0.26228368,NGC_884,0.793
516,4.5835984e+17,35.22585,0.018447634,57.07655,0.024575774,0.37030405,0.030802358,12.02194,-0.75439894,0.055854976,-1.2819796,0.062193178,0.2685432,0.03308812,-0.1185785,-0.1185493,-0.2232669,-0.197376,-0.2683964,0.3507713,0.2114899,0.3052851,299.0,298.0,-4.099095,204.0274,22.62715,-0.01577641,34.0,13.0,0.07303474,35.0,303.0,19227.953,6.1197696,3141.941,14.97853,34.0,10562.17,22.209215,475.576,15.29201,34.0,12963.963,18.0308,718.9899,14.48008,1.223538,0.8119297,0.3134727,0.498457,134.89354,-3.7028606,54.459583,40.1978,0.90414464,0.4786593,0.37314215,NGC_869,0.817
553,4.5835987e+17,35.24953,0.028302083,57.073498,0.038037423,0.39292574,0.048041843,8.178823,-0.64578885,0.08529937,-1.0649618,0.09537676,0.2920037,0.03762392,-0.1380952,-0.1088735,-0.1752219,-0.1758733,-0.240322,0.3665641,0.2204182,0.3218185,281.0,281.0,-1.036246,251.7351,8.591482,0.02857759,32.0,13.0,0.1030484,33.0,285.0,7807.3184,3.8753111,2014.63,15.95711,30.0,3810.6243,9.741351,391.1803,16.3989,30.0,5893.232,13.867715,424.9606,15.33604,1.242918,1.062861,0.4417858,0.6210756,134.90671,-3.701361,54.473137,40.189564,0.99298424,0.50253075,0.35011205,NGC_884,0.67
562,4.5836276e+17,35.18874,0.024096616,57.085136,0.03366019,0.30704656,0.041437633,7.409848,-0.65503454,0.07427246,-1.0333918,0.091847315,0.2877789,-0.00768355,-0.1081545,-0.06479909,-0.2696435,-0.1384925,-0.1406969,0.2913083,0.07212299,0.3505167,281.0,281.0,-1.797845,235.2785,11.99791,0.02609411,32.0,13.0,0.09855539,32.0,279.0,10465.721,4.2738886,2448.758,15.63894,29.0,5207.9814,12.636174,412.1486,16.05972,29.0,7728.1816,13.20621,585.193,15.04173,1.236051,1.017988,0.4207726,0.5972157,134.8716,-3.7016218,54.44047,40.214153,0.9759592,0.44086143,0.40904048,NGC_869,0.523
565,4.584537e+17,35.345924,0.028928384,57.125206,0.04050431,0.45439792,0.049838524,9.117403,-0.41874704,0.085878,-0.9644025,0.098612174,0.2497506,0.0266661,-0.1027119,-0.02216166,-0.247076,-0.09971175,-0.03351722,0.3161311,0.1681014,0.3222456,255.0,254.0,-1.40332,218.3668,8.873463,0.04308214,29.0,13.0,0.1040008,30.0,262.0,8024.3794,4.6835947,1713.295,15.92734,29.0,3932.4954,17.634201,223.0039,16.36472,29.0,6059.87,11.088665,546.4923,15.30576,1.245251,1.058956,0.4373808,0.6215754,134.9384,-3.6349163,54.563965,40.214115,0.9748767,0.5959322,0.24990942,NGC_884,0.877
587,4.584543e+17,35.32679,0.02325341,57.157433,0.029767409,0.35969043,0.037280627,9.648186,-0.78154016,0.066649355,-1.2040552,0.07177701,0.3189287,0.0535953,-0.1663643,-0.1188469,-0.1506776,-0.1849822,-0.2264146,0.3669289,0.2398313,0.3115695,269.0,264.0,2.05729,307.9526,16.05369,0.006741155,31.0,13.0,0.08212079,32.0,275.0,17175.457,10.181743,1686.888,15.1011,30.0,9397.258,25.633755,366.597,15.41889,29.0,11981.785,16.264292,736.6927,14.56562,1.244744,0.8532686,0.31779,0.5354786,134.91762,-3.608161,54.569595,40.247696,1.178054,0.5775236,0.27099118,NGC_884,0.792
595,4.5836327e+17,35.168144,0.013883427,57.15453,0.019755065,0.41168842,0.024070796,17.10323,-0.5408314,0.04400646,-1.3261051,0.06665296,0.3843873,-0.07120536,-0.1010682,-0.007101788,-0.3401597,-0.04097268,0.1074457,0.1358314,-0.1967822,0.5099551,271.0,271.0,-6.999275,134.5946,104.1461,0.03447926,31.0,12.0,0.08079321,32.0,280.0,83756.06,22.626865,3701.62,13.38083,29.0,48575.207,77.78206,624.504,13.63535,28.0,52988.72,69.027985,767.6411,12.95146,1.212616,0.6838894,0.2545261,0.4293633,134.83751,-3.6401174,54.465946,40.2817,0.8104006,0.41896382,0.42870757,NGC_869,0.8
601,4.584536e+17,35.336227,0.019915441,57.098965,0.028002001,0.35562748,0.03449663,10.30905,-0.63517475,0.058637444,-1.1635443,0.06684158,0.3174126,0.1100446,-0.1005657,-0.1219608,-0.09810063,-0.1615097,-0.2888615,0.3808414,0.1637917,0.2807197,275.0,272.0,-2.392158,214.8708,21.77759,-0.01178557,32.0,13.0,0.0753797,34.0,288.0,18727.78,7.0352664,2661.986,15.00715,30.0,10158.555,23.778036,427.2243,15.33431,31.0,12766.034,18.801517,678.9896,14.49678,1.224095,0.8375282,0.3271589,0.5103693,134.94241,-3.6613808,54.54313,40.192596,0.97411907,0.58696216,0.26090854,NGC_884,0.83
626,4.584573e+17,35.29591,0.020874744,57.173576,0.02852135,0.36575598,0.034694895,10.54207,-0.6156869,0.06103845,-1.1521584,0.06957939,0.1813587,0.04445218,-0.1577086,-0.091792,-0.2850969,-0.1984162,-0.2963946,0.3380328,0.2761007,0.288433,264.0,263.0,-1.95198,215.5592,19.19614,0.007989657,30.0,13.0,0.07890008,35.0,276.0,16363.566,6.4035993,2555.37,15.15367,25.0,8983.702,27.770948,323.4928,15.46775,26.0,11007.016,17.24709,638.1956,14.65775,1.22166,0.8100033,0.3140783,0.4959249,134.89633,-3.5986843,54.55874,40.269432,0.97680277,0.5477815,0.30383158,NGC_884,0.789
628,4.5836324e+17,35.15422,0.04321888,57.141968,0.05489956,0.4567536,0.071283534,6.407561,-0.7486192,0.14156121,-1.1081206,0.14606635,0.3236884,-0.1008741,-0.07436494,-0.0445336,-0.2966352,-0.1148797,-0.06927896,0.267984,0.07659343,0.3630432,267.0,264.0,-0.7508104,241.6478,3.969772,-0.006550401,31.0,13.0,0.1556579,34.0,272.0,3837.7083,2.527562,1518.344,16.72819,28.0,1629.5092,10.508346,155.0681,17.32125,27.0,3302.222,8.754757,377.1917,15.9649,1.285072,1.356342,0.5930614,0.7632809,134.83466,-3.6544945,54.44997,40.273556,0.96290797,0.40444988,0.44193918,NGC_869,0.833
