,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,dist_2244_center,PMemb
3,1635721458409799680,b'Gaia DR2 3131335689146178304',3131335689146178304,1314318181,2015.5,97.9801792170597,0.07349644964033882,4.939380104736942,0.054879742194049404,0.7006119250873054,0.11082429941292671,6.321826,-1.7850180039919687,0.1125905307047851,0.3744985493748527,0.08726083384875337,-0.4543669,0.75852317,0.48816893,0.4334833,-0.54424024,-0.28617972,-0.39362982,0.7050052,0.45941973,0.15396903,104,104,104,0,1.7582123,125.0776,0.0,0.0,31,True,414.08527,1.6869084779453416,0.013565671744264974,-0.1567791,12,8,0.08032129,0,13,False,100,388775.0701909082,105.01700097655774,3702.0203,11.71412,12,253702.22830012417,612.0384275801576,414.5201,11.840577,11,214367.91981014732,243.2917038688258,881.1148,11.43402,1.2039614,0,0.40655708,0.12645721,0.28009987,,,0,,,,b'NOT_AVAILABLE',206.3083677957111,-2.072128796427093,98.37528872655123,-18.26818975402923,100001.0,7718.0,7304.0,7951.5,,,,,,,200111.0,3.1476686,2.965517,3.5146089,31.67319,25.718752,37.627625,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335689146178304',b'',0.002491260097600943,0.002500726344551899,0.816000006198883
4,1635721458409799680,b'Gaia DR2 3131335689146178432',3131335689146178432,1113990004,2015.5,97.97802197553175,0.05450528634550761,4.944012589362684,0.053737740555093165,0.7194167223163611,0.0723354568805472,9.945561,-1.7927218336907709,0.0998314167019643,0.15100839006583006,0.08710384971804187,-0.49763012,0.51989627,0.28243247,0.008323209,-0.55168456,-0.3406068,-0.15143724,0.4935797,0.19968146,-0.3016367,105,105,105,0,-0.78119904,88.736984,0.0,0.0,31,True,296.40378,1.616744972325554,0.012627591381119331,-0.25658968,12,9,0.063836806,0,14,False,105,216734.73714227325,51.16145427965814,4236.2896,12.348544,11,120343.20862657795,169.9577138357024,708.07733,12.650334,11,143119.06907909436,148.99006282311694,960.5947,11.872676,1.2155979,0,0.77765846,0.30179024,0.47586823,,,0,,,,b'NOT_AVAILABLE',206.3032628277949,-2.071899793827519,98.3727456376969,-18.26369007621431,100001.0,6078.6665,5747.25,6812.0,,,,,,,200111.0,3.6417882,2.8998935,4.0739074,16.313883,14.237319,18.390446,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335689146178432',b'',0.002616512586235022,0.0026102994237943485,0.9849999970197678
9,1635721458409799680,b'Gaia DR2 3131336067106995456',3131336067106995456,1515459031,2015.5,97.9799892507908,0.09349594666667156,4.94639836504492,0.09616244896741226,0.6720463835985148,0.11717466371660994,5.735424,-1.5662938088669294,0.16486771088113095,0.46080033911436497,0.1614812025825028,0.11159843,0.34443027,0.6003071,0.5142918,-0.5864559,0.18251337,0.30095246,0.3126551,0.15697299,0.25924918,77,0,76,1,0.6419052,78.21391,0.11044376923105756,0.5227491450713354,31,False,8.700544,1.4254043266730583,0.02104333455472705,-0.11531019,9,7,0.18362145,0,11,False,78,8736.993178243418,33.07735896223128,264.13818,15.834961,8,3253.3977290995335,31.596583573351257,102.96676,16.570545,8,9200.484805265283,101.46169227179983,90.6794,14.852393,1.4254197,0,1.718152,0.73558426,0.9825678,,,0,,,,b'NOT_AVAILABLE',206.30204880210115,-2.0690605326733893,98.37465997808586,-18.26119437678308,102001.0,4132.0,3928.0,4292.0073,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131336067106995456',b'',0.00480677862134959,0.004802663548022733,0.7559999948740006
10,1635721458409799680,b'Gaia DR2 3131335693444048256',3131335693444048256,1153766790,2015.5,97.97701056277684,0.08352590721777542,4.946442631187574,0.10349569019428972,0.6492349503866099,0.14088851466421828,4.6081467,-1.5651649366791969,0.16803720131381267,0.42482296552292614,0.17042954969349855,-0.433304,0.4346615,0.21535781,0.08059551,-0.6775643,-0.39431643,-0.22096702,0.5196868,0.3271438,-0.19104536,96,0,96,0,0.5668268,98.16024,0.13672852694337972,0.4950880448295766,31,False,4.3111567,1.3685642845405148,0.02450361172424734,-0.21399462,11,8,0.17781907,0,13,False,98,4668.010129597654,14.201975810505438,328.68738,16.515535,5,1793.112469145363,106.48303023687481,16.83942,17.21737,8,5401.411622194561,98.21384000259135,54.99644,15.430652,1.54124,0,1.7867174,0.7018337,1.0848837,,,0,,,,b'NOT_AVAILABLE',206.3006401981476,-2.071673385943981,98.37153757801741,-18.261322722158205,102001.0,4303.3335,3928.0,4475.8604,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335693444048256',b'',0.005244774661627361,0.005240095764675487,0.7930000075697898
19,1635721458409799680,b'Gaia DR2 3131335693444056448',3131335693444056448,1628848970,2015.5,97.97298357018715,0.1648330012732096,4.939213572968645,0.19581074946988228,0.6393374655476284,0.26987150949951605,2.3690438,-1.9398877179190608,0.32581004575599953,0.1786184071633508,0.31903427627866887,-0.4734042,0.4455548,0.26640692,0.1386617,-0.65477544,-0.32767937,-0.09184451,0.48153177,0.29296204,-0.3050802,114,0,113,1,1.5910416,132.34676,0.4248409314679158,1.3266114923121943,31,False,0.92294455,1.2678970668727745,0.039977881019452946,-0.28326052,13,9,0.33802432,0,13,False,113,1412.1262676217718,4.171932267289326,338.48254,17.813683,10,490.7278998435701,47.98092095227886,10.227563,18.624287,10,1997.0286716788373,9.712114684370857,205.62244,16.51096,1.7617097,0,2.113327,0.8106041,1.3027229,,,0,,,,b'NOT_AVAILABLE',206.3052077906182,-2.0785668622500397,98.36776225435959,-18.268772724959177,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335693444056448',b'',0.0066344767793787155,0.006651947710320608,0.8379999834299088
30,1635721458409799680,b'Gaia DR2 3131335689146180480',3131335689146180480,402910141,2015.5,97.97905173688369,0.1826973862803026,4.932850360989848,0.22685807063802385,0.7930617651149486,0.3240621299573399,2.4472523,-1.5355100903545928,0.3597373491486751,0.11874622248723403,0.34481573153956296,-0.500196,0.45598936,0.24245043,0.24565318,-0.6923091,-0.32606316,-0.20019002,0.53845006,0.34821638,-0.23580545,114,0,114,0,1.9336054,139.32776,0.4241137685407241,1.0617935641366236,31,False,0.7647415,1.324326872021228,0.04267724391251582,-0.28671175,13,9,0.3842518,0,13,False,114,1189.8851586129606,10.966225730933997,108.50453,17.999603,12,437.5504120890327,20.86810427679092,20.967424,18.748817,12,1519.0299566919025,46.08470306783797,32.961697,16.808004,1.6443439,0,1.9408131,0.7492142,1.1915989,,,0,,,,b'NOT_AVAILABLE',206.3136474169535,-2.0761364722448263,98.3745076648656,-18.274773769619188,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335689146180480',b'',0.00881131461988847,0.00881705813657326,0.838999984562397
31,1635721458409799680,b'Gaia DR2 3131335624724577152',3131335624724577152,941098458,2015.5,97.98391898368666,0.16242585067963342,4.934106704614099,0.2006753195430711,0.43887063292233053,0.2868333082069143,1.5300547,-2.010131265950845,0.31432833730622667,0.3447125073220112,0.26809245947224075,-0.39699042,0.42758346,0.11311773,0.20370337,-0.7347704,-0.37532544,-0.33102608,0.54498607,0.3660315,-0.05432928,108,0,108,0,2.073207,134.91388,0.3030280005125764,0.6724338070491469,31,False,1.0002794,1.311684980035733,0.03765722413604896,-0.17540146,13,10,0.34336975,0,13,False,107,1505.0015748825203,3.75546445469137,400.7498,17.744524,11,512.2899501444125,20.14860751909294,25.425575,18.577599,11,1884.9044730851444,13.523213089731467,139.38289,16.573696,1.5928185,0,2.0039024,0.83307457,1.1708279,,,0,,,,b'NOT_AVAILABLE',206.31476933672766,-2.0712542364186954,98.37952882058178,-18.273237493101497,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335624724577152',b'',0.008911835111556606,0.008929589128985017,0.7159999918937683
40,1635721458409799680,b'Gaia DR2 3131335899602478976',3131335899602478976,131597756,2015.5,97.97256526359631,0.08140455957400401,4.950036588584318,0.08464822345980463,0.4186329247684962,0.12333228351282573,3.3943498,-1.5730417137341721,0.1438751389088624,0.09806030181977472,0.12352453359433746,-0.3430938,0.4947277,0.33499187,0.3559968,-0.61335945,-0.12055096,-0.18880352,0.49447733,0.31417555,-0.052574154,106,0,104,2,1.9968174,129.04259,0.23670651832464573,2.2278721808377653,31,False,5.412636,1.4013510658010815,0.01701886434954598,-0.14454427,12,9,0.15105823,0,12,False,105,7483.2575740758475,15.400716488342976,485.9032,16.00314,8,2277.905610076692,25.47893452310082,89.40349,16.957548,9,8234.14153637273,63.005821814491334,130.68858,14.972875,1.4047421,0,1.9846735,0.95440865,1.0302649,,,0,,,,b'NOT_AVAILABLE',206.2954055348526,-2.0739459047877062,98.36666197109159,-18.257992204556203,100001.0,4062.4734,3769.0,4468.45,2.3812,2.0077,2.724,1.1903,0.9886,1.377,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335899602478976',b'',0.010653314245717154,0.010659929812844979,0.9549999958276749
42,1635721458409799680,b'Gaia DR2 3131336071401161600',3131336071401161600,1581351420,2015.5,97.9896406955164,0.09786104567803412,4.944848666057986,0.09178202066159918,0.6015834541642914,0.12063412932471451,4.986843,-2.195979758415999,0.17062437492707103,0.6289257233336045,0.12638853618912652,0.065850295,0.36792952,0.59812546,0.5610733,-0.6266357,0.23000517,0.11520259,0.30325067,0.20649895,0.34342456,87,0,87,0,8.648282,248.69725,0.3134565280777827,10.209917180233855,31,False,7.9346805,1.433487772130427,0.016635934569493888,-0.048641644,10,8,0.18132547,0,13,False,83,34825.577976684624,70.88785948856724,491.27704,14.33362,12,11506.203399465301,66.46057136840825,173.12827,15.199058,12,35176.24549131099,192.11944941667122,183.0957,13.3962965,1.3404645,0,1.8027611,0.8654375,0.9373236,,,0,,,,b'NOT_AVAILABLE',206.3078614613316,-2.0612428279559545,98.38486325584971,-18.26218196110383,100001.0,3965.3333,3900.0,4149.5,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131336071401161600',b'',0.010904930032129247,0.01094670313068155,0.6290000140666961
44,1635721458409799680,b'Gaia DR2 3131335689145193344',3131335689145193344,1351167863,2015.5,97.96879000304033,0.05311028499042816,4.93751028072005,0.056783183463433695,0.7016769563081503,0.07748761159206922,9.055344,-1.76307763303928,0.09775593608810336,0.6471895106634403,0.09799063145195704,-0.33791247,0.4556211,0.23773992,0.1816561,-0.55714124,-0.17655237,-0.04428499,0.41414264,0.22845761,-0.18704638,104,104,104,0,2.8754425,144.3645,0.0,0.0,31,True,349.41672,1.6842369633372083,0.014155129301489287,-0.2464173,12,9,0.059713896,0,14,False,104,324566.5246311768,94.90181409689102,3420.0244,11.910107,12,209710.20550418686,565.4361584002648,370.8822,12.047339,12,181307.36337561777,155.1087480691194,1168.9048,11.615881,1.2047378,0,0.43145847,0.13723278,0.2942257,,,0,,,,b'NOT_AVAILABLE',206.30479233213933,-2.0830595798469016,98.36347408814729,-18.270715832612325,100001.0,7662.355,7346.55,8134.6665,,,,,,,200111.0,2.907897,2.5800257,3.163273,26.26043,22.634426,29.886433,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335689145193344',b'',0.011146221441282638,0.011178138889745271,0.6669999939203263
