,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,PMemb
2,1635721458409799680,b'Gaia DR2 3131335693444047232',3131335693444047232,570736313,2015.5,97.98132642410907,0.055815888353629294,4.942859196846833,0.05680496362836634,0.6263483419098528,0.07879622746076331,7.9489636,-2.1293925064666475,0.09713796885525804,-0.6073439253787174,0.08580652073512188,-0.47320065,0.4851397,0.1013656,0.26932302,-0.5101778,-0.13762967,-0.3625031,0.52160513,0.2601751,-0.16533618,113,113,112,1,9.321734,308.14676,0.0,0.0,31,False,166.40726,1.7058291250889444,0.01436561417148263,-0.28758398,13,9,0.059657317,0,16,False,123,39272421.5974315,20012.38380469582,1962.406,6.7031465,14,26820775.998587064,48770.6895278901,549.93634,6.78021,13,18822132.092545483,57882.206962241864,325.17993,6.575248,1.1622127,0,0.20496225,0.07706356,0.1278987,,,0,,,,b'NOT_AVAILABLE',206.3058059967646,-2.069510369870711,98.37627720795518,-18.264650079086394,100001.0,8515.0,8277.333,8597.0,0.573,0.337,0.7991,0.295,0.1819,0.3931,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335693444047232',b'',0.0024572525566793815,0.3
3,1635721458409799680,b'Gaia DR2 3131335689146178304',3131335689146178304,1314318181,2015.5,97.9801792170597,0.07349644964033882,4.939380104736942,0.054879742194049404,0.7006119250873054,0.11082429941292671,6.321826,-1.7850180039919687,0.1125905307047851,0.3744985493748527,0.08726083384875337,-0.4543669,0.75852317,0.48816893,0.4334833,-0.54424024,-0.28617972,-0.39362982,0.7050052,0.45941973,0.15396903,104,104,104,0,1.7582123,125.0776,0.0,0.0,31,True,414.08527,1.6869084779453416,0.013565671744264974,-0.1567791,12,8,0.08032129,0,13,False,100,388775.0701909082,105.01700097655774,3702.0203,11.71412,12,253702.22830012417,612.0384275801576,414.5201,11.840577,11,214367.91981014732,243.2917038688258,881.1148,11.43402,1.2039614,0,0.40655708,0.12645721,0.28009987,,,0,,,,b'NOT_AVAILABLE',206.3083677957111,-2.072128796427093,98.37528872655123,-18.26818975402923,100001.0,7718.0,7304.0,7951.5,,,,,,,200111.0,3.1476686,2.965517,3.5146089,31.67319,25.718752,37.627625,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335689146178304',b'',0.002491260097600943,0.8
4,1635721458409799680,b'Gaia DR2 3131335689146178432',3131335689146178432,1113990004,2015.5,97.97802197553175,0.05450528634550761,4.944012589362684,0.053737740555093165,0.7194167223163611,0.0723354568805472,9.945561,-1.7927218336907709,0.0998314167019643,0.15100839006583006,0.08710384971804187,-0.49763012,0.51989627,0.28243247,0.008323209,-0.55168456,-0.3406068,-0.15143724,0.4935797,0.19968146,-0.3016367,105,105,105,0,-0.78119904,88.736984,0.0,0.0,31,True,296.40378,1.616744972325554,0.012627591381119331,-0.25658968,12,9,0.063836806,0,14,False,105,216734.73714227325,51.16145427965814,4236.2896,12.348544,11,120343.20862657795,169.9577138357024,708.07733,12.650334,11,143119.06907909436,148.99006282311694,960.5947,11.872676,1.2155979,0,0.77765846,0.30179024,0.47586823,,,0,,,,b'NOT_AVAILABLE',206.3032628277949,-2.071899793827519,98.3727456376969,-18.26369007621431,100001.0,6078.6665,5747.25,6812.0,,,,,,,200111.0,3.6417882,2.8998935,4.0739074,16.313883,14.237319,18.390446,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335689146178432',b'',0.002616512586235022,1.0
9,1635721458409799680,b'Gaia DR2 3131336067106995456',3131336067106995456,1515459031,2015.5,97.9799892507908,0.09349594666667156,4.94639836504492,0.09616244896741226,0.6720463835985148,0.11717466371660994,5.735424,-1.5662938088669294,0.16486771088113095,0.46080033911436497,0.1614812025825028,0.11159843,0.34443027,0.6003071,0.5142918,-0.5864559,0.18251337,0.30095246,0.3126551,0.15697299,0.25924918,77,0,76,1,0.6419052,78.21391,0.11044376923105756,0.5227491450713354,31,False,8.700544,1.4254043266730583,0.02104333455472705,-0.11531019,9,7,0.18362145,0,11,False,78,8736.993178243418,33.07735896223128,264.13818,15.834961,8,3253.3977290995335,31.596583573351257,102.96676,16.570545,8,9200.484805265283,101.46169227179983,90.6794,14.852393,1.4254197,0,1.718152,0.73558426,0.9825678,,,0,,,,b'NOT_AVAILABLE',206.30204880210115,-2.0690605326733893,98.37465997808586,-18.26119437678308,102001.0,4132.0,3928.0,4292.0073,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131336067106995456',b'',0.00480677862134959,0.7
10,1635721458409799680,b'Gaia DR2 3131335693444048256',3131335693444048256,1153766790,2015.5,97.97701056277684,0.08352590721777542,4.946442631187574,0.10349569019428972,0.6492349503866099,0.14088851466421828,4.6081467,-1.5651649366791969,0.16803720131381267,0.42482296552292614,0.17042954969349855,-0.433304,0.4346615,0.21535781,0.08059551,-0.6775643,-0.39431643,-0.22096702,0.5196868,0.3271438,-0.19104536,96,0,96,0,0.5668268,98.16024,0.13672852694337972,0.4950880448295766,31,False,4.3111567,1.3685642845405148,0.02450361172424734,-0.21399462,11,8,0.17781907,0,13,False,98,4668.010129597654,14.201975810505438,328.68738,16.515535,5,1793.112469145363,106.48303023687481,16.83942,17.21737,8,5401.411622194561,98.21384000259135,54.99644,15.430652,1.54124,0,1.7867174,0.7018337,1.0848837,,,0,,,,b'NOT_AVAILABLE',206.3006401981476,-2.071673385943981,98.37153757801741,-18.261322722158205,102001.0,4303.3335,3928.0,4475.8604,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335693444048256',b'',0.005244774661627361,0.8
19,1635721458409799680,b'Gaia DR2 3131335693444056448',3131335693444056448,1628848970,2015.5,97.97298357018715,0.1648330012732096,4.939213572968645,0.19581074946988228,0.6393374655476284,0.26987150949951605,2.3690438,-1.9398877179190608,0.32581004575599953,0.1786184071633508,0.31903427627866887,-0.4734042,0.4455548,0.26640692,0.1386617,-0.65477544,-0.32767937,-0.09184451,0.48153177,0.29296204,-0.3050802,114,0,113,1,1.5910416,132.34676,0.4248409314679158,1.3266114923121943,31,False,0.92294455,1.2678970668727745,0.039977881019452946,-0.28326052,13,9,0.33802432,0,13,False,113,1412.1262676217718,4.171932267289326,338.48254,17.813683,10,490.7278998435701,47.98092095227886,10.227563,18.624287,10,1997.0286716788373,9.712114684370857,205.62244,16.51096,1.7617097,0,2.113327,0.8106041,1.3027229,,,0,,,,b'NOT_AVAILABLE',206.3052077906182,-2.0785668622500397,98.36776225435959,-18.268772724959177,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335693444056448',b'',0.0066344767793787155,0.9
27,1635721458409799680,b'Gaia DR2 3131335624724578304',3131335624724578304,1471090411,2015.5,97.98201092746372,0.1277350063912502,4.933754352293002,0.14505168276131156,0.6585924624103426,0.20442171019495906,3.2217345,-0.7471834073595902,0.23620135296875588,0.8973277941092884,0.20728934888598943,-0.45152798,0.46150666,0.17512064,0.24695502,-0.6749408,-0.26776445,-0.2794806,0.508619,0.31959918,-0.15057738,114,0,114,0,1.1929737,126.84088,0.2825723119473584,0.9498290271090154,31,False,1.6258713,1.3672653650354414,0.029402363536688902,-0.1921964,13,10,0.2465486,0,13,False,114,2126.0052912151223,7.000239087369803,303.70468,17.369455,11,659.511654381102,10.393331009448124,63.455273,18.303331,12,2595.1495940005734,29.374800373217884,88.346115,16.226515,1.530881,0,2.0768166,0.93387604,1.1429405,,,0,,,,b'NOT_AVAILABLE',206.31420507673485,-2.0731035408379843,98.37755185617098,-18.273699841639992,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335624724578304',b'',0.008396771354837965,0.1
30,1635721458409799680,b'Gaia DR2 3131335689146180480',3131335689146180480,402910141,2015.5,97.97905173688369,0.1826973862803026,4.932850360989848,0.22685807063802385,0.7930617651149486,0.3240621299573399,2.4472523,-1.5355100903545928,0.3597373491486751,0.11874622248723403,0.34481573153956296,-0.500196,0.45598936,0.24245043,0.24565318,-0.6923091,-0.32606316,-0.20019002,0.53845006,0.34821638,-0.23580545,114,0,114,0,1.9336054,139.32776,0.4241137685407241,1.0617935641366236,31,False,0.7647415,1.324326872021228,0.04267724391251582,-0.28671175,13,9,0.3842518,0,13,False,114,1189.8851586129606,10.966225730933997,108.50453,17.999603,12,437.5504120890327,20.86810427679092,20.967424,18.748817,12,1519.0299566919025,46.08470306783797,32.961697,16.808004,1.6443439,0,1.9408131,0.7492142,1.1915989,,,0,,,,b'NOT_AVAILABLE',206.3136474169535,-2.0761364722448263,98.3745076648656,-18.274773769619188,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335689146180480',b'',0.00881131461988847,0.9
31,1635721458409799680,b'Gaia DR2 3131335624724577152',3131335624724577152,941098458,2015.5,97.98391898368666,0.16242585067963342,4.934106704614099,0.2006753195430711,0.43887063292233053,0.2868333082069143,1.5300547,-2.010131265950845,0.31432833730622667,0.3447125073220112,0.26809245947224075,-0.39699042,0.42758346,0.11311773,0.20370337,-0.7347704,-0.37532544,-0.33102608,0.54498607,0.3660315,-0.05432928,108,0,108,0,2.073207,134.91388,0.3030280005125764,0.6724338070491469,31,False,1.0002794,1.311684980035733,0.03765722413604896,-0.17540146,13,10,0.34336975,0,13,False,107,1505.0015748825203,3.75546445469137,400.7498,17.744524,11,512.2899501444125,20.14860751909294,25.425575,18.577599,11,1884.9044730851444,13.523213089731467,139.38289,16.573696,1.5928185,0,2.0039024,0.83307457,1.1708279,,,0,,,,b'NOT_AVAILABLE',206.31476933672766,-2.0712542364186954,98.37952882058178,-18.273237493101497,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335624724577152',b'',0.008911835111556606,0.7
32,1635721458409799680,b'Gaia DR2 3131335689149872512',3131335689149872512,851588757,2015.5,97.97092946681744,0.1505818694758895,4.93811606614422,0.17848435105352384,0.5689011071603587,0.24276917000356454,2.3433828,-1.7188179516563353,0.299387858519596,-0.3534810062245,0.2948377296634617,-0.4738019,0.44107866,0.25877798,0.1121896,-0.65501887,-0.33504695,-0.08547741,0.47028485,0.28171542,-0.32102317,113,0,113,0,2.0460098,140.15253,0.34267890552367647,1.070845791292425,31,False,1.1071587,1.3696936759802036,0.037300066800017836,-0.28325856,13,9,0.3112788,0,13,False,113,1579.4757234300428,7.021879091450538,224.93633,17.692083,10,557.3772100350677,12.577787572568973,44.314407,18.486015,12,2104.918872456128,41.40369813650958,50.83891,16.45383,1.6855568,0,2.0321846,0.79393196,1.2382526,,,0,,,,b'NOT_AVAILABLE',206.30523799151746,-2.0808888613736944,98.36567792947329,-18.269987269400072,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3131335689149872512',b'',0.008945410363641803,0.4
