,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,PMemb
9654,1635721458409799680,b'Gaia DR2 5351453388837692160',5351453388837692160,1377941869,2015.5,158.83548603373646,0.02620817787591102,-58.10501447656203,0.024352949126321043,0.35772668110864003,0.030286727503539817,11.811335,-7.723217939849407,0.05808080483818498,3.3127531167926616,0.05088005998109977,-0.16111776,-0.18592264,-0.24152267,0.19600707,0.29562232,0.2415152,-0.23885821,0.15146025,0.025949243,-0.12757607,224,0,223,1,-2.0272255,177.76842,0.0,0.0,31,False,19.70346,1.6488549944572706,0.006033573432158419,0.030863568,26,15,0.06467558,0,29,False,242,16581.769670247817,7.32029921547474,2265.1765,15.139289,28,10026.133886119369,24.55401237234065,408.32974,15.348555,28,10335.69777157672,24.065260469145702,429.4862,14.72607,1.2279649,0,0.6224842,0.20926571,0.4132185,,,0,,,,b'NOT_AVAILABLE',285.7358920569763,0.1487492317322777,198.273161897514,-58.74210454491269,100001.0,6815.0,6416.5503,7068.3335,1.0247,0.7154,1.326,0.5287,0.2819,0.6673,200111.0,1.6067448,1.4936353,1.8124892,5.017091,3.988807,6.045375,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351453388837692160',b'',0.1422279653718581,1.0
9723,1635721458409799680,b'Gaia DR2 5350696993554216960',5350696993554216960,1418094505,2015.5,159.21384317696536,0.04166799543118226,-58.286184157561095,0.03923540450225061,0.4619631602478074,0.04869622874340295,9.486631,-7.692077348106895,0.07658748808028623,3.4725326775657903,0.07182362476066552,-0.18286128,-0.46022603,-0.48830065,0.07414546,0.36647245,0.24652267,-0.19473831,0.30408415,0.07499824,0.15183309,211,0,210,1,-1.7064009,171.75969,0.0,0.0,31,False,9.328357,1.5314038375580648,0.009136101076796656,0.051010996,24,16,0.0821569,0,28,False,234,8144.47583479368,4.899077999933655,1662.4507,15.911208,25,3775.005261763589,18.195383180799222,207.4705,16.409094,24,6477.970558460081,23.186531810108796,279.38507,15.233322,1.2588872,0,1.1757717,0.4978857,0.677886,,,0,,,,b'NOT_AVAILABLE',285.9988670300793,0.09020215857487024,198.79131778276124,-58.72595196512102,100001.0,4873.0,4800.0,4923.135,,,,,,,200111.0,1.83717,1.7999429,1.8934755,1.7146641,1.3159343,2.1133938,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5350696993554216960',b'',0.1427348909211868,0.9
9743,1635721458409799680,b'Gaia DR2 5351444833262981760',5351444833262981760,303023126,2015.5,158.69471762840024,0.07843288737040299,-58.246045518534075,0.07664277995597896,0.2965054304618657,0.08877886053496448,3.3398201,-8.098323630261982,0.1638065353952645,3.44369906439705,0.16232976390760556,0.14183354,-0.17205147,-0.18150188,0.32483503,0.29193038,0.35246542,0.17642732,0.03920541,-0.15493838,0.34769702,218,0,217,1,-0.8200873,194.92671,0.0,0.0,31,False,2.1204488,1.562926911784902,0.017271784834274453,-0.02842534,25,14,0.17435518,0,30,False,250,2182.958656010486,2.9569567807440986,738.24506,17.340752,25,1186.9071816930689,11.531440630623829,102.92792,17.665346,25,2039.4831466861967,16.59197697662588,122.91984,16.48812,1.4779897,0,1.177227,0.3245945,0.8526325,,,0,,,,b'NOT_AVAILABLE',285.74191865990036,-0.010509909270004739,198.36815094470174,-58.893699356764216,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351444833262981760',b'',0.1429325732008357,0.3
9770,1635721458409799680,b'Gaia DR2 5351544201616509568',5351544201616509568,1602306827,2015.5,158.94794203504662,0.027700216892960417,-58.08695995544365,0.029818612973235827,0.4310002311851546,0.036414007880408404,11.836111,-7.773091734467743,0.05596971745068976,3.2772847177447435,0.05339505956544181,-0.022056881,-0.18436827,-0.12811358,0.15849374,0.36363888,0.27729338,0.070709705,0.21251206,0.18566956,0.16673706,209,209,209,0,5.0234275,322.316,0.0,0.0,31,False,263.98984,1.71385155712344,0.007133286352481763,-0.013001811,24,15,0.04011387,0,27,False,226,198470.2974637739,82.9763831096342,2391.889,12.444127,27,133017.77898132344,311.42396068296375,427.12762,12.541614,26,104235.06008873763,137.31928610421323,759.0708,12.216886,1.1954073,0,0.324728,0.097486496,0.22724152,,,0,,,,b'NOT_AVAILABLE',285.77847829304466,0.19396698331525644,198.3283790964059,-58.68700467720364,100001.0,8791.5,8267.667,8995.0,1.0938,0.8619,1.2353,0.5523,0.4509,0.6231,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351544201616509568',b'',0.14321148365831723,0.8
9781,1635721458409799680,b'Gaia DR2 5351543445702334592',5351543445702334592,1180331158,2015.5,159.04476935509373,0.08096981287096755,-58.09303994153816,0.0796049024663151,0.39905564126184934,0.09697426020267819,4.1150675,-8.316975845370452,0.16053296948183385,3.5313290087749234,0.14651169678229403,0.00048794236,-0.0538634,-0.16552782,0.3559947,0.31102076,0.44371444,0.07685166,0.2584071,0.2751137,0.09382112,212,0,212,0,1.4774857,237.80914,0.13004329151009894,0.3049684146702226,31,False,1.9051938,1.483914753245789,0.019607714766828634,0.048382554,24,16,0.1553844,0,27,False,238,2147.0869878884846,2.278900708557207,942.15906,17.358742,25,1069.1200274915518,15.6104828191683,68.48731,17.778822,25,2088.580088507225,18.481836430242403,113.00717,16.462292,1.4706904,0,1.3165302,0.42008018,0.89645004,,,0,,,,b'NOT_AVAILABLE',285.82593839978773,0.2140689795557115,198.40562973685243,-58.65470675468142,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351543445702334592',b'',0.14326305468956102,0.1
9800,1635721458409799680,b'Gaia DR2 5351543548781572096',5351543548781572096,1470760695,2015.5,159.0970438852717,0.06863939420795437,-58.1046906206703,0.06840587271631392,0.42559744291538765,0.08240829248546153,5.164498,-7.69458333014601,0.13699256567921705,3.0226885031764854,0.12901315680958955,0.007847785,-0.06767113,-0.16018635,0.3641283,0.25389856,0.4418043,0.04496566,0.23594278,0.27326745,0.06318392,211,0,211,0,0.43395308,214.24936,0.0,0.0,31,False,2.6340961,1.482399075122135,0.01640202100696834,0.00058276736,24,15,0.1329847,0,27,False,233,2713.321062553798,2.48890377477872,1090.1671,17.104612,23,1224.4960487733983,15.172520147074016,80.70486,17.631495,22,2541.542915399223,23.706086337051893,107.21056,16.249176,1.3879813,0,1.3823185,0.5268822,0.8554363,,,0,,,,b'NOT_AVAILABLE',285.85570883679287,0.2176184070109111,198.4587900094093,-58.643135867247494,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351543548781572096',b'',0.14340417713296308,0.1
9805,1635721458409799680,b'Gaia DR2 5351450949295932928',5351450949295932928,227246960,2015.5,158.69633604967981,0.03567578042628245,-58.20490016330507,0.0340168095868306,0.27744641987906976,0.03930329583845815,7.0591135,-6.98427606127432,0.06793558739294234,2.7190244180172067,0.06585773599089434,-0.13954829,-0.279177,-0.41120803,0.2505079,0.1884962,0.2919052,-0.26750404,0.18078041,0.031996895,-0.09474101,248,0,247,1,-1.1169198,217.62834,0.0,1.2918958832001822e-15,31,True,8.790084,1.626063278748475,0.00882537043007524,0.041089375,28,16,0.07555688,0,30,False,264,7773.129361495222,5.298424889151422,1467.0642,15.961876,26,4482.220744840233,21.20266237889593,211.39896,16.222654,24,5241.730835108389,16.336984286410765,320.8506,15.463233,1.25097,0,0.75942135,0.26077843,0.49864292,,,0,,,,b'NOT_AVAILABLE',285.7220930103918,0.025554064238045574,198.31221863689623,-58.86440821970256,100001.0,6177.6665,5837.0,6618.825,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351450949295932928',b'',0.1434442680384992,0.3
9864,1635721458409799680,b'Gaia DR2 5351543548781568768',5351543548781568768,1604683340,2015.5,159.08329844437085,0.02124383466356929,-58.1003128484444,0.020864210718318336,0.3826454687320525,0.025682867564367926,14.898861,-7.785684421457881,0.04141573436620978,3.25883132868848,0.03873152590444137,0.082897745,-0.09821757,-0.08014384,0.2556082,0.28801087,0.3367316,0.031279806,0.2566236,0.20831892,0.18958701,209,0,209,0,-2.3566124,159.43886,0.0,0.0,31,False,41.8126,1.6797404292280076,0.00509014449655359,0.011290495,24,15,0.050037026,0,28,False,233,34381.23302446403,9.752605782263702,3525.3381,14.347562,27,21364.322691224326,30.218002481018168,707.0065,14.527165,24,20128.010593536696,33.153344850229985,607.1185,14.002418,1.2068309,0,0.52474785,0.17960358,0.34514427,,,0,,,,b'NOT_AVAILABLE',285.8472309861154,0.21782987350718183,198.44301090868268,-58.64525777682023,100001.0,7039.8335,6860.625,7367.0,,,,,,,200111.0,2.0304139,1.8540779,2.1378734,9.12249,7.5762453,10.668735,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351543548781568768',b'',0.14394345210928122,1.0
9866,1635721458409799680,b'Gaia DR2 5351450468259965440',5351450468259965440,1223979559,2015.5,158.85984492093897,0.01975264835295308,-58.0969570267392,0.02051699696652359,0.4027946712350746,0.02300366135227373,17.510025,-7.772733810688171,0.039905028049420664,3.3038621493538423,0.0422373477999059,-0.118739,-0.22956964,-0.36045238,0.1686045,0.25148302,0.19782616,-0.40759233,0.1669147,0.014172887,-0.0009190448,234,0,232,2,1.7778057,266.28412,0.07943299321063714,1.2398002873888778,31,False,42.494152,1.7252828646612168,0.004509856555006454,0.028187893,27,15,0.050495166,0,29,False,247,48515.4946616388,15.434255844548542,3143.3647,13.973664,26,32551.94693842323,79.05286972146794,411.77438,14.069945,26,25891.409093086615,56.693249342163035,456.693,13.729031,1.2046328,0,0.34091473,0.09628105,0.24463367,,,0,,,,b'NOT_AVAILABLE',285.74304425648126,0.162145220236379,198.27940929048296,-58.72726901723329,100001.0,8588.0,8071.0,8965.667,0.6797,0.4429,0.9191,0.342,0.2489,0.459,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351450468259965440',b'',0.14395616866949434,0.9
9908,1635721458409799680,b'Gaia DR2 5351544167256764032',5351544167256764032,1531885525,2015.5,158.93707919106777,0.016191115853084668,-58.08636006327533,0.016448234068400985,0.37231178518497443,0.02019366882192837,18.437056,-7.6891648483041335,0.032917592807200725,3.296470188818101,0.030871060743773607,0.04921637,-0.14055972,-0.11593841,0.21719675,0.31710002,0.3078045,0.02909793,0.22406603,0.17005351,0.17945391,226,0,226,0,-0.08983318,218.45453,0.0,0.0,31,False,109.78952,1.7153113401160047,0.0038253594738373335,-0.009561512,26,16,0.042271253,0,28,False,242,89402.11171210276,34.61005960480783,2583.125,13.309997,28,58981.53484850078,125.85472363368089,468.64777,13.424598,28,48167.074242880255,45.28155834180902,1063.7239,13.055044,1.198502,0,0.36955357,0.114601135,0.25495243,,,0,,,,b'NOT_AVAILABLE',285.77319601450444,0.19163590764956928,198.31982141641114,-58.690686737980165,100001.0,7927.0,7591.1226,8503.667,,,,,,,200111.0,2.7168815,2.3608909,2.9626231,26.258596,22.399822,30.11737,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5351544167256764032',b'',0.1442721154720656,1.0
